REQUEST_DURATION_SYSTEM,REQUEST_DURATION_OKHTTP,REQUEST_SYNCHRONOUS,RESPONSE_CODE,RESPONSE_METHOD,RESPONSE_LENGTH_OKHTTP,RESPONSE_LENGTH_HEADER,REQUEST_PROTOCOL,REQUEST_URL
836,0,FALSE,200,"GET",554,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special"
853,0,FALSE,200,"GET",795,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=5806551bdcba0f490c70fd1f"
554,0,FALSE,200,"GET",721,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=580655cddcba0f490c70fdd0"
917,0,FALSE,200,"GET",682,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=58065620dcba0f490c70fe09"
258,0,FALSE,200,"GET",682,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=58065620dcba0f490c70fe09"
268,0,FALSE,200,"GET",795,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=5806551bdcba0f490c70fd1f"
255,0,FALSE,200,"GET",554,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special"
260,0,FALSE,200,"GET",795,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=5806551bdcba0f490c70fd1f"
636,0,FALSE,200,"GET",56744,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/quiz/leaderboard?from=1"
251,0,FALSE,200,"GET",56744,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/quiz/leaderboard?from=1"
270,0,FALSE,200,"GET",56744,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/quiz/leaderboard?from=1"
821,0,FALSE,200,"GET",1870,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club"
974,0,FALSE,200,"GET",979,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/PR%20Club"
600,0,FALSE,200,"GET",760,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/Design%20and%20Decoration%20Club"
909,0,FALSE,200,"GET",1171,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/Technical%20Committee"
272,0,FALSE,200,"GET",1171,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/Technical%20Committee"
252,0,FALSE,200,"GET",979,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/PR%20Club"
263,0,FALSE,200,"GET",1870,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club"
251,0,FALSE,200,"GET",1171,-2,"http/1.1","https://api-hillfair-2k16.herokuapp.com/api/app/club/Technical%20Committee"
