REQUEST_DURATION_SYSTEM,REQUEST_DURATION_OKHTTP,REQUEST_SYNCHRONOUS,RESPONSE_CODE,RESPONSE_METHOD,RESPONSE_LENGTH_OKHTTP,RESPONSE_LENGTH_HEADER,REQUEST_PROTOCOL,REQUEST_URL
615,0,TRUE,200,"GET",53799,-2,"http/1.1","https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true"
211,0,TRUE,200,"GET",53,-2,"http/1.1","http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs"
596,0,TRUE,200,"GET",2485,-2,"h2","https://pbs.twimg.com/profile_images/847818629840228354/VXyQHfn0_normal.jpg"
632,0,TRUE,200,"GET",42069,-2,"h2","https://i.cbc.ca/1.5665164.1595891792!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_460/ont-windsor-hum-20200727.jpg"
669,0,TRUE,200,"GET",98412,-2,"h2","https://images.fastcompany.net/image/upload/w_128"
688,0,TRUE,200,"GET",138361,-2,"h2","https://images.fastcompany.net/image/upload/w_128"
838,0,TRUE,200,"GET",395,-2,"http/1.1","https://s3.amazonaws.com/icons.newsblur.com/18178.png"
839,0,TRUE,200,"GET",3877,-2,"http/1.1","https://s3.amazonaws.com/icons.newsblur.com/7702341.png"
878,0,TRUE,200,"GET",770,-2,"http/1.1","https://s3.amazonaws.com/icons.newsblur.com/5762506.png"
863,0,TRUE,200,"GET",1438,-2,"http/1.1","https://s3.amazonaws.com/icons.newsblur.com/6326827.png"
926,0,TRUE,200,"GET",236,-2,"http/1.1","https://s3.amazonaws.com/icons.newsblur.com/6882243.png"
909,0,TRUE,200,"GET",770,-2,"http/1.1","https://s3.amazonaws.com/icons.newsblur.com/5762506.png"
124,0,TRUE,200,"GET",7628,-2,"http/1.1","https://s3.amazonaws.com/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif"
85,0,TRUE,200,"GET",7628,-2,"http/1.1","https://s3.amazonaws.com/avatars.newsblur.com/avatars/33448/thumbnail_profile_1420383332.gif"
506,0,TRUE,200,"GET",2919,-2,"h2","https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg"
428,0,TRUE,200,"GET",2919,-2,"h2","https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg"
571,0,TRUE,200,"GET",2919,-2,"h2","https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg"
460,0,TRUE,200,"GET",2919,-2,"h2","https://pbs.twimg.com/profile_images/1186729813748248576/D6FFru_U_normal.jpg"
554,0,TRUE,200,"GET",29763,-2,"http/1.1","https://www.newsblur.com/media/img/reader/default_profile_photo.png"
645,0,TRUE,200,"GET",29763,-2,"http/1.1","https://www.newsblur.com/media/img/reader/default_profile_photo.png"
459,0,TRUE,200,"GET",29763,-2,"http/1.1","https://www.newsblur.com/media/img/reader/default_profile_photo.png"
480,0,TRUE,200,"GET",53180,-2,"http/1.1","https://www.newsblur.com/social/river_stories?order=newest&page=2&read_filter=all&global_feed=true"
586,0,TRUE,200,"GET",92658,-2,"http/1.1","https://www.newsblur.com/social/river_stories?order=newest&page=3&read_filter=all&global_feed=true"
408,0,TRUE,200,"GET",45615,-2,"http/1.1","https://www.newsblur.com/social/river_stories?order=newest&page=4&read_filter=all&global_feed=true"
100,0,TRUE,200,"GET",5513,-2,"http/1.1","https://s3.amazonaws.com/avatars.newsblur.com/avatars/136960/thumbnail_profile_1364434554.jpg"
2,0,TRUE,200,"GET",53,-2,"http/1.1","http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs"
603,0,TRUE,200,"GET",91,-2,"http/1.1","https://www.newsblur.com/reader/feed_unread_count?feed_id=6882243&feed_id=18178"
2,0,TRUE,200,"GET",53,-2,"http/1.1","http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs"
1,0,TRUE,200,"GET",53,-2,"http/1.1","http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs"
125,0,TRUE,200,"GET",52793,-2,"http/1.1","https://s3.amazonaws.com/icons.newsblur.com/850543.png"
376,0,TRUE,200,"GET",201419,-2,"h2","https://64.media.tumblr.com/58fdb3e3c1b2ba1306c2d1be0119460e/75c91623ddb4dfe2-55/s1280x1920/18a33520ca63b4c9f1d09ba5a5eb6fab3b9c104d.jpg"
577,0,TRUE,200,"GET",148,-2,"http/1.1","https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all"
539,0,TRUE,200,"GET",91,-2,"http/1.1","https://www.newsblur.com/reader/feed_unread_count?feed_id=5762506"
1,0,TRUE,200,"GET",53,-2,"http/1.1","http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs"
