Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
33,2374084,33,0,0,32,19
133,2375244,134,0,0,132,17
235,2375608,235,0,0,234,20
334,2375088,334,0,0,333,12
436,2375396,437,0,0,435,6
537,2376220,537,0,0,536,15
639,2376416,639,0,0,637,15
737,2375540,737,0,0,736,15
839,2372584,839,0,0,838,8
938,2373160,938,0,0,938,16
1039,2373648,1039,0,0,1038,13
1139,2373060,1139,0,0,1139,14
1242,2371100,1242,0,0,1241,5
1292,2371660,1292,0,0,1291,14
1392,2372148,1393,0,0,1392,21
1492,2372188,1492,0,0,1491,18
1593,2370812,1593,0,0,1592,10
1694,2371328,1694,0,0,1693,12
1794,2372036,1794,0,0,1793,16
1894,2371872,1894,0,0,1893,16
1994,2371284,1995,0,0,1994,10
2096,2371284,2097,0,0,2095,10
2196,2371836,2197,0,0,2195,16
2296,2371836,2296,0,0,2295,18
2397,2371444,2397,0,0,2396,10
2498,2371516,2499,0,0,2497,5
2598,2372348,2598,0,0,2597,17
2698,2372248,2698,0,0,2697,15
2798,2371760,2799,0,0,2798,13
2900,2370224,2901,0,0,2899,8
3000,2371008,3001,0,0,2999,15
3101,2372752,3101,0,0,3099,14
3200,2387312,3200,0,0,3199,22
3301,2385872,3302,0,0,3300,19
3401,2368664,3401,0,0,3400,19
3501,2368076,3501,0,0,3500,16
3604,2367712,3606,0,0,3602,2
3702,2366572,3703,0,0,3702,25
3802,2367028,3803,0,0,3802,28
3903,2366668,3903,0,0,3902,20
4004,2366392,4004,0,0,4003,25
4104,2367368,4104,0,0,4103,28
4204,2368088,4204,0,0,4203,24
4305,2369080,4305,0,0,4304,16
4405,2371696,4405,0,0,4404,28
4506,2369888,4506,0,0,4505,28
4608,2369720,4608,0,0,4606,12
4706,2366328,4707,0,0,4706,28
4807,2367912,4807,0,0,4806,26
4908,2368708,4908,0,0,4907,18
5008,2370544,5009,0,0,5007,22
5108,2370904,5108,0,0,5107,35
5209,2373520,5210,0,0,5208,25
5309,2368744,5309,0,0,5308,17
5409,2372172,5409,0,0,5408,37
5509,2372576,5510,0,0,5509,31
5610,2373212,5610,0,0,5609,18
5711,2374328,5711,0,0,5710,32
5811,2374184,5811,0,0,5810,41
5911,2371852,5911,0,0,5910,26
6011,2370288,6011,0,0,6011,31
6112,2371128,6112,0,0,6111,34
6212,2371284,6212,0,0,6212,30
6313,2373848,6313,0,0,6312,22
6413,2373552,6414,0,0,6413,35
6513,2374160,6514,2995636,2995636,6513,28
6614,2373864,6614,2995636,2995636,6613,33
6714,2391432,6714,2995636,2995636,6714,45
6814,2391740,6815,2995636,2995636,6814,36
6915,2392692,6915,2995636,2995636,6914,24
7016,2394164,7016,2995636,2995636,7015,24
7116,2393708,7116,2995636,2995636,7115,31
7216,2389488,7217,2995636,2995636,7216,28
7317,2390596,7317,2995636,2995636,7316,20
7417,2391784,7418,2995636,2995636,7417,35
7518,2393552,7518,2995636,2995636,7517,38
7618,2393504,7618,2995636,2995636,7617,22
7719,2394100,7719,2995636,2995636,7718,21
7819,2389688,7819,2995636,2995636,7818,34
7919,2390324,7919,2995636,2995636,7919,30
8020,2391804,8020,2995636,2995636,8019,29
8120,2392792,8120,2995636,2995636,8119,41
8220,2393552,8221,2995636,2995636,8220,30
8321,2391352,8321,2995636,2995636,8320,22
8421,2389212,8422,2995636,2995636,8421,33
8522,2391732,8522,2995636,2995636,8521,38
8622,2392436,8622,2995636,2995636,8621,35
8723,2388508,8723,2995636,2995636,8722,28
8823,2390904,8823,2995636,2995636,8822,39
8923,2374884,8923,2995636,2995636,8923,34
9023,2370724,9024,2995636,2995636,9023,20
9124,2372488,9124,2995636,2995636,9123,21
9224,2374340,9224,2995636,2995636,9223,29
9324,2374836,9324,2995636,2995636,9324,29
9425,2376388,9425,2995636,2995636,9424,16
9525,2376892,9525,2995636,2995636,9525,25
9626,2377352,9626,2995636,2995636,9626,17
9726,2373028,9727,2995636,2995636,9726,22
9827,2373700,9827,2995636,2995636,9826,27
9927,2374772,9928,2995636,2995636,9927,28
10027,2375640,10028,2995636,2995636,10027,25
10130,2376188,10130,2995636,2995636,10128,22
10235,2377656,10236,2995636,2995636,10234,25
10335,2372816,10335,2995636,2995636,10334,32
10434,2373244,10435,2995636,2995636,10434,27
10535,2374568,10535,2995636,2995636,10534,20
10635,2375716,10636,2995636,2995636,10635,28
10736,2374140,10736,2995636,2995636,10735,26
10836,2376152,10836,2995636,2995636,10836,26
10936,2373780,10936,2995636,2995636,10936,28
11036,2374564,11037,2995636,2995636,11036,31
11137,2375648,11137,2995636,2995636,11136,21
11238,2378064,11239,2995636,2995636,11237,31
11338,2379120,11338,2995636,2995636,11337,24
11438,2377356,11438,2995636,2995636,11437,39
11538,2377296,11538,2995636,2995636,11538,29
11640,2378208,11640,2995636,2995636,11639,40
11739,2379128,11740,2995636,2995636,11738,18
11839,2379060,11840,2995636,2995636,11839,20
11940,2380932,11940,2995636,2995636,11939,17
12041,2381160,12042,2995636,2995636,12040,10
12141,2382788,12142,2995636,2995636,12140,20
12241,2382788,12241,2995636,2995636,12240,18
12341,2382592,12341,2995636,2995636,12340,35
12442,2381808,12442,2995636,2995636,12441,23
12542,2381956,12542,2995636,2995636,12541,0
12643,2382380,12643,2995636,2995636,12642,31
12744,2386540,12744,2995636,2995636,12743,36
12843,2385828,12844,2995636,2995636,12843,24
12946,2397932,12947,2995636,2995636,12944,26
13045,2398508,13046,2995636,2995636,13044,23
13146,2398724,13146,2995636,2995636,13145,18
13246,2398576,13247,2995636,2995636,13246,17
13347,2397832,13347,2995636,2995636,13346,13
13448,2398052,13448,2995636,2995636,13447,8
13548,2398416,13548,2995636,2995636,13547,16
13651,2398304,13652,2995636,2995636,13649,15
13749,2398412,13749,2995636,2995636,13748,19
13850,2398104,13850,2995636,2995636,13849,16
13950,2397944,13950,2995636,2995636,13949,2
14051,2399032,14051,2995636,2995636,14050,16
14152,2398588,14152,2995636,2995636,14151,20
14252,2398588,14252,2995636,2995636,14251,20
14352,2398588,14353,2995636,2995636,14351,17
14453,2397996,14453,2995636,2995636,14452,8
14553,2398660,14553,2995636,2995636,14552,0
14654,2399252,14654,2995636,2995636,14653,19
14754,2399192,14754,2995636,2995636,14753,16
14854,2399192,14855,2995636,2995636,14854,16
14956,2398396,14957,2995636,2995636,14955,6
15056,2399300,15056,2995636,2995636,15055,13
15156,2399772,15156,2995636,2995636,15155,17
15256,2399772,15257,2995636,2995636,15256,13
15357,2399184,15357,2995636,2995636,15356,16
15459,2399184,15459,2995636,2995636,15458,2
15558,2399320,15559,2995636,2995636,15558,16
15660,2399920,15661,2995636,2995636,15659,19
15759,2400008,15759,2995636,2995636,15758,16
15860,2399412,15860,2995636,2995636,15859,13
15960,2399560,15960,2995636,2995636,15960,15
16061,2401132,16061,2995636,2995636,16060,25
16161,2401868,16161,2995636,2995636,16160,27
16261,2402860,16262,2995636,2995636,16261,27
16362,2404624,16363,2995636,2995636,16361,19
16462,2405808,16463,2995636,2995636,16462,40
16563,2390204,16564,2995636,2995636,16562,37
16663,2398520,16663,2995636,2995636,16663,37
16764,2381540,16764,2995636,2995636,16763,41
16864,2384696,16864,2995636,2995636,16863,36
16964,2386172,16964,2995636,2995636,16964,43
17064,2387288,17065,2995636,2995636,17064,23
17165,2386884,17165,2995636,2995636,17164,12
17266,2387928,17266,2995636,2995636,17265,16
17366,2388824,17366,2995636,2995636,17365,22
17466,2388628,17466,2995636,2995636,17465,20
17566,2388600,17566,2995636,2995636,17566,17
17666,2388368,17667,2995636,2995636,17666,10
17768,2388496,17769,2995636,2995636,17767,3
17868,2389348,17869,2995636,2995636,17867,14
17968,2389152,17968,2995636,2995636,17967,18
18068,2389152,18068,2995636,2995636,18067,12
18169,2389152,18169,2995636,2995636,18168,14
18270,2387780,18270,2995636,2995636,18269,4
18371,2387860,18371,184999,184999,18370,14
18471,2388068,18471,184999,184999,18470,14
18571,2388068,18571,184999,184999,18570,12
18671,2387936,18672,184999,184999,18671,16
18772,2388164,18772,184999,184999,18771,18
18873,2386400,18874,184999,184999,18872,8
18973,2386744,18973,184999,184999,18972,14
19074,2386744,19074,184999,184999,19073,15
19173,2386548,19173,184999,184999,19173,20
19274,2386548,19274,184999,184999,19273,15
19375,2386156,19375,184999,184999,19374,9
19475,2386720,19476,184999,184999,19475,13
19576,2386768,19576,184999,184999,19575,13
19675,2386632,19676,184999,184999,19675,17
19776,2386760,19776,184999,184999,19776,13
19877,2386160,19877,184999,184999,19876,14
19978,2386160,19979,184999,184999,19977,2
20078,2386840,20079,184999,184999,20077,17
20179,2386840,20179,184999,184999,20178,13
20278,2386840,20279,184999,184999,20278,16
20379,2387120,20379,184999,184999,20378,16
20481,2386532,20481,184999,184999,20480,7
20581,2386532,20582,184999,184999,20580,12
20681,2387260,20681,184999,184999,20680,23
20781,2387812,20781,184999,184999,20780,25
20881,2389048,20882,184999,184999,20881,27
20982,2389932,20982,184999,184999,20981,26
21084,2391780,21084,184999,184999,21082,18
21184,2391656,21184,184999,184999,21183,28
21284,2386560,21284,184999,184999,21283,20
21384,2385972,21384,184999,184999,21384,19
21485,2385572,21485,184999,184999,21484,6
21585,2386204,21586,184999,184999,21585,19
21686,2386316,21686,184999,184999,21685,13
21786,2386284,21786,184999,184999,21785,12
21886,2385248,21886,184999,184999,21885,7
21987,2384984,21987,184999,184999,21986,6
22087,2384932,22088,184999,184999,22087,14
22187,2384932,22187,184999,184999,22187,25
22288,2384540,22288,184999,184999,22287,16
22388,2385404,22388,184999,184999,22387,15
22488,2387352,22489,184999,184999,22488,24
22589,2387652,22589,184999,184999,22588,25
22639,2388816,22639,184999,184999,22638,28
22739,2387332,22740,184999,184999,22739,33
22840,2389372,22840,184999,184999,22839,26
22940,2384952,22941,184999,184999,22939,19
23041,2384952,23041,184999,184999,23040,20
23140,2385120,23141,184999,184999,23140,20
23241,2387860,23241,184999,184999,23240,17
23343,2387772,23343,184999,184999,23342,21
23442,2387772,23442,184999,184999,23442,20
23542,2384960,23543,184999,184999,23542,19
23644,2384824,23645,184999,184999,23643,11
23744,2385204,23745,184999,184999,23743,19
23844,2382556,23844,184999,184999,23843,12
23944,2382556,23944,184999,184999,23943,13
24045,2382400,24045,184999,184999,24044,7
24146,2382668,24147,184999,184999,24145,6
24245,2382668,24246,184999,184999,24245,17
24345,2382668,24346,184999,184999,24345,12
24446,2382904,24446,184999,184999,24445,12
24547,2381924,24547,184999,184999,24546,0
24647,2382268,24647,184999,184999,24646,14
