REQUEST_DURATION_SYSTEM,REQUEST_DURATION_OKHTTP,REQUEST_SYNCHRONOUS,RESPONSE_CODE,RESPONSE_METHOD,RESPONSE_LENGTH_OKHTTP,RESPONSE_LENGTH_HEADER,REQUEST_PROTOCOL,REQUEST_URL
976,0,TRUE,200,"GET",86,-2,"http/1.1","https://www.newsblur.com/reader/feeds/?update_counts=true"
689,0,TRUE,200,"GET",90,-2,"http/1.1","https://www.newsblur.com/reader/unread_story_hashes?include_timestamps=1"
694,0,TRUE,200,"GET",53799,-2,"http/1.1","https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true"
48,0,TRUE,200,"GET",53,-2,"http/1.1","http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs"
393,0,TRUE,200,"GET",138361,-2,"h2","https://images.fastcompany.net/image/upload/w_128"
529,0,TRUE,200,"GET",236,-2,"http/1.1","https://s3.amazonaws.com/icons.newsblur.com/6882243.png"
562,0,TRUE,200,"GET",770,-2,"http/1.1","https://s3.amazonaws.com/icons.newsblur.com/5762506.png"
711,0,TRUE,200,"GET",395,-2,"http/1.1","https://s3.amazonaws.com/icons.newsblur.com/18178.png"
766,0,TRUE,200,"GET",53180,-2,"http/1.1","https://www.newsblur.com/social/river_stories?order=newest&page=2&read_filter=all&global_feed=true"
2,0,TRUE,200,"GET",53,-2,"http/1.1","http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs"
2,0,TRUE,200,"GET",53,-2,"http/1.1","http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs"
167,0,TRUE,200,"GET",98412,-2,"h2","https://images.fastcompany.net/image/upload/w_128"
418,0,TRUE,200,"GET",148,-2,"http/1.1","https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all"
3,0,TRUE,200,"GET",53,-2,"http/1.1","http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs"
