Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
22,2551064,22,0,0,21,17
123,2551588,123,0,0,122,16
223,2552908,224,0,0,223,16
326,2553116,327,0,0,324,15
428,2552136,429,0,0,426,7
527,2552736,528,0,0,526,10
625,2553056,626,0,0,625,17
726,2554588,726,0,0,725,28
826,2566816,826,0,0,825,22
926,2578476,927,0,0,925,22
1026,2579052,1027,0,0,1026,15
1131,2578748,1132,0,0,1129,10
1229,2579964,1230,1048458,1048458,1227,25
1328,2606964,1328,1048458,1048458,1327,34
1429,2609240,1429,1048458,1048458,1428,32
1529,2609536,1530,1048458,1048458,1528,12
1631,2609972,1632,1048458,1048458,1630,20
1730,2610276,1730,1048458,1048458,1729,25
1831,2609800,1832,1048458,1048458,1829,17
1935,2609800,1936,1048458,1048458,1932,7
2032,2610724,2032,1048458,1048458,2030,17
2133,2610932,2133,1048458,1048458,2131,16
2235,2610932,2236,1048458,1048458,2233,15
2337,2609952,2339,1048458,1048458,2335,5
2436,2610276,2437,1048458,1048458,2434,11
2534,2610508,2535,1048458,1048458,2533,17
2637,2610788,2639,1048458,1048458,2636,19
2740,2610264,2743,1048458,1048458,2737,8
2838,2610608,2839,1048458,1048458,2836,12
2936,2611004,2937,1048458,1048458,2935,17
3040,2611012,3041,1048458,1048458,3038,13
3143,2610228,3144,1048458,1048458,3140,10
3240,2610492,3240,1048458,1048458,3238,10
3339,2611336,3339,1048458,1048458,3337,15
3439,2611552,3440,1048458,1048458,3438,16
3540,2610748,3540,1048458,1048458,3538,14
3644,2611216,3645,1048458,1048458,3641,6
3741,2612132,3741,1048458,1048458,3739,20
3840,2612500,3841,1048458,1048458,3839,26
3942,2612460,3943,1048458,1048458,3941,25
4045,2613384,4047,1048458,1048458,4043,20
4143,2616140,4144,1048458,1048458,4142,30
4242,2617828,4242,1048458,1048458,4241,32
4343,2617680,4343,1048458,1048458,4342,12
4444,2614172,4444,1048458,1048458,4443,12
4544,2631624,4544,1048458,1048458,4542,46
4643,2629304,4644,1048458,1048458,4643,37
4745,2612708,4746,1048458,1048458,4744,12
4845,2613312,4845,1048458,1048458,4844,23
4945,2613604,4946,1048458,1048458,4945,24
5045,2613536,5045,1048458,1048458,5045,26
5146,2614080,5146,1048458,1048458,5145,16
5246,2615856,5246,1048458,1048458,5245,17
5346,2615856,5347,1048458,1048458,5346,13
5447,2615452,5447,1048458,1048458,5446,2
5548,2615480,5549,1048458,1048458,5547,13
5648,2615912,5648,1048458,1048458,5647,23
5748,2620124,5748,1048458,1048458,5747,54
5849,2623208,5850,1048458,1048458,5848,7
5949,2624464,5950,1048458,1048458,5949,16
6049,2624464,6050,1048458,1048458,6049,15
6100,2624464,6100,1048458,1048458,6099,20
6200,2623876,6201,1048458,1048458,6200,5
6303,2624352,6303,1048458,1048458,6302,15
6403,2624612,6403,1048458,1048458,6402,14
6503,2624764,6503,1048458,1048458,6502,15
6604,2624396,6605,1048458,1048458,6603,7
6704,2624396,6704,1048458,1048458,6703,6
6804,2625392,6805,1048458,1048458,6804,15
6905,2625392,6905,1048458,1048458,6904,13
7006,2625000,7006,1048458,1048458,7005,20
7106,2624804,7107,1048458,1048458,7106,9
7207,2625464,7208,1048458,1048458,7206,17
7307,2625268,7307,1048458,1048458,7306,12
7407,2624876,7408,1048458,1048458,7407,12
7509,2625148,7510,1048458,1048458,7508,6
7609,2626000,7609,1048458,1048458,7608,17
7710,2626000,7710,1048458,1048458,7708,15
7809,2625412,7809,1048458,1048458,7808,19
7911,2625412,7912,1048458,1048458,7910,4
8011,2625976,8011,1048458,1048458,8010,16
8112,2626500,8112,1048458,1048458,8111,16
8211,2626500,8212,1048458,1048458,8210,16
8312,2625912,8313,1048458,1048458,8311,5
8413,2625716,8413,1048458,1048458,8412,11
8514,2626352,8514,1048458,1048458,8513,18
8613,2626360,8613,0,0,8612,15
8714,2625968,8714,0,0,8713,12
8815,2626260,8816,0,0,8814,8
8915,2626784,8916,0,0,8914,13
9015,2626784,9015,0,0,9014,13
9115,2626348,9116,0,0,9115,14
9216,2626544,9217,0,0,9215,2
9317,2627092,9317,0,0,9316,22
9417,2627544,9418,0,0,9416,15
9517,2627444,9518,0,0,9517,15
9618,2626840,9618,0,0,9617,10
9720,2627264,9720,0,0,9718,6
9820,2627700,9820,0,0,9819,20
9919,2627700,9919,0,0,9918,15
10020,2627112,10020,0,0,10019,12
10120,2627412,10120,0,0,10120,6
10222,2628236,10222,0,0,10221,20
10322,2628236,10322,0,0,10321,13
10422,2627704,10422,0,0,10421,14
10524,2627520,10524,0,0,10523,0
10623,2627672,10624,0,0,10623,17
10725,2628000,10726,0,0,10724,11
10824,2628000,10824,0,0,10823,16
10925,2627400,10925,0,0,10924,7
11026,2627636,11027,0,0,11025,13
11126,2628876,11127,0,0,11125,20
11226,2628680,11226,0,0,11225,15
11327,2627888,11327,0,0,11326,12
11427,2628084,11427,0,0,11426,6
11528,2628304,11528,0,0,11527,14
11629,2628536,11629,0,0,11628,15
11728,2628784,11728,0,0,11727,15
11830,2628196,11831,0,0,11829,7
11931,2628872,11932,0,0,11930,16
12032,2628896,12032,0,0,12030,16
12132,2629448,12133,0,0,12131,16
12233,2628860,12233,0,0,12232,9
12335,2628804,12335,0,0,12334,8
12435,2630128,12435,0,0,12434,20
12535,2631100,12535,0,0,12534,28
12636,2631516,12636,0,0,12635,17
12736,2633040,12736,0,0,12735,22
12836,2635120,12836,0,0,12835,34
12937,2635592,12937,0,0,12936,19
13037,2629904,13037,0,0,13036,8
13138,2632544,13139,0,0,13137,32
13238,2633288,13238,0,0,13237,28
13338,2632896,13338,0,0,13337,16
13438,2633328,13438,0,0,13437,9
13540,2632248,13541,0,0,13539,28
13639,2632380,13639,0,0,13638,26
13739,2632260,13739,0,0,13739,23
13840,2633316,13840,0,0,13839,29
13940,2633476,13940,0,0,13939,24
14040,2633280,14041,0,0,14040,25
14141,2632692,14142,0,0,14141,9
14242,2633224,14243,0,0,14241,12
14344,2634316,14344,0,0,14342,15
14442,2634260,14442,0,0,14442,14
14543,2633132,14543,0,0,14542,3
14644,2633648,14644,0,0,14643,13
14745,2633976,14745,0,0,14744,12
14844,2633976,14844,0,0,14844,12
14946,2633388,14946,0,0,14945,10
15047,2633388,15047,0,0,15046,8
15147,2634372,15147,0,0,15146,13
15247,2634372,15248,0,0,15246,15
15347,2633588,15347,0,0,15346,12
15450,2633680,15450,0,0,15448,1
15549,2634256,15550,0,0,15548,17
15649,2634744,15650,0,0,15649,15
15750,2634660,15750,0,0,15749,16
15850,2634060,15851,0,0,15849,9
15952,2634472,15952,0,0,15951,13
16052,2634948,16052,0,0,16051,12
16152,2634948,16152,0,0,16151,15
16252,2633968,16253,0,0,16252,7
16354,2633772,16355,0,0,16353,6
16454,2634904,16455,0,0,16453,16
16554,2634816,16555,0,0,16554,12
16655,2634436,16655,0,0,16654,14
16757,2634672,16757,0,0,16756,1
16857,2635008,16858,0,0,16856,16
16958,2635552,16959,0,0,16957,12
17057,2635552,17058,0,0,17057,17
17158,2634756,17158,0,0,17158,7
17259,2635004,17259,0,0,17258,7
17360,2635340,17360,0,0,17359,12
17460,2635024,17460,0,0,17459,13
17561,2634532,17561,0,0,17560,11
17662,2634828,17663,0,0,17661,8
17762,2635180,17762,0,0,17761,16
17862,2635180,17862,0,0,17861,15
17963,2634592,17963,0,0,17962,11
18065,2634592,18065,0,0,18064,2
18165,2634916,18165,0,0,18164,14
18265,2635220,18265,0,0,18264,15
18365,2635024,18365,0,0,18364,16
18467,2634200,18467,0,0,18466,7
18567,2630548,18568,0,0,18567,20
18666,2628912,18667,0,0,18666,24
18767,2628912,18767,0,0,18766,13
18871,2628324,18871,0,0,18869,7
18969,2628736,18970,0,0,18968,10
19071,2628900,19071,0,0,19069,17
19169,2628900,19170,0,0,19168,14
19270,2628508,19270,0,0,19269,10
19371,2629264,19372,0,0,19370,15
19471,2629224,19472,0,0,19470,19
19571,2629096,19571,0,0,19570,18
19672,2628704,19672,0,0,19671,13
19772,2628704,19772,0,0,19771,1
19873,2629332,19874,0,0,19872,17
19974,2629776,19974,0,0,19973,15
20074,2629776,20074,0,0,20073,17
20176,2629384,20176,0,0,20175,6
20276,2629896,20276,0,0,20275,14
20375,2629804,20376,0,0,20375,14
20476,2629556,20476,0,0,20475,14
20576,2629060,20577,0,0,20576,11
20678,2628748,20678,0,0,20677,6
20778,2629596,20778,0,0,20777,15
20878,2629596,20878,0,0,20877,16
20979,2629008,20979,0,0,20978,18
21081,2628932,21081,0,0,21079,5
21180,2629828,21181,0,0,21179,15
21280,2629828,21281,0,0,21280,15
21381,2629828,21381,0,0,21380,16
21484,2629220,21485,0,0,21483,10
21585,2629364,21585,0,0,21584,8
21684,2630156,21685,0,0,21684,14
21788,2630156,21788,0,0,21786,15
21886,2629568,21886,0,0,21885,14
21986,2629568,21986,0,0,21985,1
22087,2629676,22088,0,0,22086,16
22188,2629968,22189,0,0,22187,16
22288,2630204,22288,0,0,22287,17
22390,2629812,22391,0,0,22389,5
22490,2630176,22491,0,0,22489,11
22591,2630304,22591,0,0,22590,21
22643,2630292,22643,0,0,22642,19
22742,2630292,22743,0,0,22741,12
22846,2629704,22846,0,0,22843,6
22944,2630280,22944,0,0,22943,16
23044,2630596,23044,0,0,23043,15
23145,2630596,23145,0,0,23143,17
23246,2629812,23247,0,0,23245,7
23346,2630532,23347,0,0,23345,10
23447,2630724,23447,0,0,23445,16
23546,2630664,23546,0,0,23545,18
23646,2627844,23647,0,0,23645,15
23748,2627452,23749,0,0,23747,2
23848,2628340,23848,0,0,23847,20
23950,2628340,23950,0,0,23948,13
24048,2627572,24049,0,0,24048,17
24149,2627572,24149,0,0,24148,2
24250,2628104,24251,0,0,24249,18
24351,2628388,24351,0,0,24350,16
24451,2628340,24451,0,0,24450,17
24551,2627844,24552,0,0,24550,11
24653,2627776,24653,0,0,24652,10
24754,2628656,24754,0,0,24752,13
24853,2628656,24854,0,0,24852,14
24954,2627872,24954,0,0,24953,15
25054,2627992,25054,0,0,25053,6
25154,2629084,25155,0,0,25154,25
25255,2629560,25255,0,0,25254,26
25355,2630160,25356,0,0,25354,23
25457,2631356,25458,0,0,25456,18
25556,2633732,25556,0,0,25555,29
25657,2634204,25657,0,0,25656,22
25757,2628428,25757,0,0,25756,16
25858,2628356,25859,0,0,25857,18
25958,2628512,25959,0,0,25957,23
26058,2628120,26058,0,0,26057,20
26158,2628120,26158,0,0,26157,0
26259,2629512,26260,0,0,26258,12
26362,2629512,26362,0,0,26361,19
26461,2629352,26461,0,0,26460,14
26562,2629156,26563,0,0,26561,2
26661,2628840,26662,0,0,26661,15
26766,2629488,26768,0,0,26764,17
26862,2630004,26862,0,0,26862,25
26964,2630996,26965,0,0,26963,12
27063,2631876,27063,0,0,27062,26
27163,2633960,27164,0,0,27163,31
27264,2633988,27264,0,0,27263,13
27364,2634052,27365,0,0,27363,10
27464,2630204,27465,0,0,27464,31
27566,2630324,27566,0,0,27564,21
27667,2629932,27667,0,0,27665,6
27767,2630360,27767,0,0,27766,18
27867,2630664,27867,0,0,27866,21
27967,2630076,27967,0,0,27966,16
28067,2630824,28068,0,0,28067,12
28169,2632508,28169,0,0,28168,32
28268,2632312,28269,0,0,28267,20
28368,2631528,28369,0,0,28368,17
28469,2631328,28469,0,0,28468,6
28570,2631860,28571,0,0,28569,18
28670,2631860,28670,0,0,28669,16
28770,2631468,28770,0,0,28769,14
28872,2631272,28873,0,0,28871,4
28972,2631828,28972,0,0,28971,15
29072,2632552,29073,0,0,29071,18
29172,2632552,29172,0,0,29171,17
29273,2631492,29273,0,0,29272,0
29373,2631796,29373,0,0,29372,15
29475,2632048,29475,0,0,29473,16
29574,2631912,29575,0,0,29573,21
29676,2631484,29676,0,0,29674,10
29777,2631716,29778,0,0,29775,8
29878,2632408,29878,0,0,29876,18
29977,2630092,29978,0,0,29976,24
30078,2630292,30078,0,0,30077,16
30180,2629404,30180,0,0,30178,7
30279,2629676,30279,0,0,30278,13
30380,2630572,30380,0,0,30378,20
30480,2630492,30480,0,0,30479,17
30580,2630164,30581,0,0,30579,19
30684,2630004,30684,0,0,30682,5
30785,2630100,30785,0,0,30783,22
30885,2630912,30886,0,0,30884,18
30985,2630764,30985,0,0,30983,15
31085,2630024,31086,0,0,31084,18
31187,2630024,31188,0,0,31186,1
31286,2630700,31287,0,0,31285,18
31387,2630660,31388,0,0,31386,17
31487,2631520,31488,0,0,31486,29
31588,2631648,31588,0,0,31587,27
31689,2632392,31690,0,0,31688,18
31789,2633036,31789,0,0,31788,36
31889,2635216,31889,0,0,31888,32
31989,2634724,31989,0,0,31988,36
32094,2634096,32094,0,0,32090,17
32191,2629152,32192,0,0,32190,32
32293,2629416,32294,1491411,1491411,32292,0
32392,2629752,32393,1491411,1491411,32392,23
32493,2629752,32494,1491411,1491411,32493,2
32594,2630380,32595,1491411,1491411,32593,15
32694,2629988,32694,1491411,1491411,32693,13
32794,2629596,32794,1491411,1491411,32793,10
32895,2629700,32896,1491411,1491411,32894,3
32995,2630328,32996,1491411,1491411,32995,17
33098,2630328,33099,1491411,1491411,33096,13
33196,2630416,33196,1491411,1491411,33195,24
33297,2630640,33298,1491411,1491411,33296,12
33396,2631884,33397,1491411,1491411,33396,26
33497,2633472,33497,1491411,1491411,33496,29
33597,2634840,33597,1491411,1491411,33596,27
33698,2634756,33698,1491411,1491411,33697,5
33798,2630088,33798,1491411,1491411,33797,20
33898,2630696,33898,1491411,1491411,33897,36
33998,2630108,33998,1491411,1491411,33998,6
34100,2631420,34101,1491411,1491411,34099,18
34199,2631664,34199,1491411,1491411,34198,18
34299,2630588,34300,1491411,1491411,34299,0
34400,2630588,34400,1491411,1491411,34399,23
34501,2632288,34502,1491411,1491411,34500,24
34600,2632888,34601,1491411,1491411,34600,27
34701,2632888,34701,1491411,1491411,34700,23
34801,2632192,34801,1491411,1491411,34800,4
34902,2632820,34902,1491411,1491411,34901,15
35004,2628612,35004,1491411,1491411,35002,15
35102,2628612,35102,1491411,1491411,35101,18
35203,2628020,35204,1491411,1491411,35202,8
35303,2627872,35304,1491411,1491411,35303,7
35404,2628488,35404,1491411,1491411,35403,22
35506,2628412,35507,1491411,1491411,35505,18
35605,2628348,35605,1491411,1491411,35604,17
35705,2627756,35706,1491411,1491411,35705,7
35806,2628032,35806,1491411,1491411,35805,15
35906,2629612,35907,1491411,1491411,35905,32
36007,2630388,36007,1491411,1491411,36006,31
36107,2630240,36107,1491411,1491411,36106,27
36209,2630488,36210,1491411,1491411,36208,23
36308,2633152,36308,1491411,1491411,36307,31
36409,2633900,36409,1491411,1491411,36408,26
36509,2633456,36510,1491411,1491411,36508,32
36610,2627920,36611,1491411,1491411,36609,8
36711,2627816,36711,1491411,1491411,36709,21
36810,2627576,36810,1491411,1491411,36809,29
36910,2627428,36911,1491411,1491411,36910,18
37012,2626384,37012,1491411,1491411,37010,6
37112,2627300,37113,1491411,1491411,37111,13
37212,2627848,37212,1491411,1491411,37211,18
37312,2627848,37313,1491411,1491411,37311,14
37412,2626368,37413,1491411,1491411,37412,13
37513,2626484,37514,1491411,1491411,37512,4
37613,2627928,37614,1491411,1491411,37612,28
37714,2628652,37714,1491411,1491411,37713,29
37814,2628952,37814,1491411,1491411,37813,28
37916,2629648,37917,1491411,1491411,37915,15
38015,2631248,38015,1491411,1491411,38014,30
38115,2632640,38116,1491411,1491411,38114,39
38216,2632416,38216,1491411,1491411,38215,19
38317,2632268,38318,1491411,1491411,38316,1
38416,2627832,38417,1491411,1491411,38415,45
38516,2628184,38517,1491411,1491411,38516,25
38617,2627684,38617,1491411,1491411,38616,17
38717,2627624,38717,1491411,1491411,38716,8
38818,2629396,38819,1491411,1491411,38817,28
38918,2629396,38918,1491411,1491411,38917,21
39018,2628508,39019,1491411,1491411,39018,22
39118,2628352,39119,1491411,1491411,39118,12
39220,2629440,39221,1491411,1491411,39219,17
39320,2629440,39321,1491411,1491411,39319,20
39420,2629440,39420,1491411,1491411,39419,16
39520,2628608,39521,1491411,1491411,39519,8
39621,2628992,39621,1491411,1491411,39620,13
39721,2629236,39721,0,0,39720,16
39821,2629536,39822,0,0,39820,15
39922,2628644,39922,0,0,39921,11
40023,2628892,40024,0,0,40022,4
40123,2629700,40123,0,0,40122,17
40225,2629700,40226,0,0,40223,16
40324,2629900,40324,0,0,40323,16
40425,2629884,40426,0,0,40424,22
40525,2630996,40525,0,0,40524,26
40625,2631900,40626,0,0,40625,30
40726,2632644,40727,0,0,40725,31
40827,2632800,40827,0,0,40826,26
40927,2634552,40928,0,0,40926,25
41028,2635368,41028,0,0,41027,25
41128,2634820,41129,0,0,41127,34
41228,2629936,41229,0,0,41228,21
41329,2630120,41329,0,0,41328,15
41429,2630028,41430,0,0,41429,23
41530,2630012,41530,0,0,41529,16
41630,2629772,41631,0,0,41630,11
41731,2629792,41732,0,0,41730,8
41831,2630616,41832,0,0,41831,25
41932,2630616,41932,0,0,41931,15
42032,2629876,42032,0,0,42031,16
42132,2629876,42133,0,0,42132,2
42233,2631212,42233,0,0,42232,33
42333,2631956,42333,0,0,42332,30
42433,2632564,42434,0,0,42433,31
42535,2632260,42535,0,0,42534,16
42634,2633656,42634,0,0,42634,29
42735,2635692,42735,0,0,42734,44
42835,2635692,42835,0,0,42834,18
42937,2630068,42938,0,0,42935,5
43038,2631200,43038,0,0,43037,34
43137,2631620,43137,0,0,43136,21
43237,2631380,43238,0,0,43237,22
43337,2631232,43338,0,0,43337,6
43439,2632524,43440,0,0,43438,23
43538,2632752,43539,0,0,43538,16
43639,2632752,43640,0,0,43638,14
43739,2632248,43740,0,0,43738,8
43841,2632208,43841,0,0,43839,15
43941,2633268,43942,0,0,43940,18
43990,2633268,43991,0,0,43989,21
44091,2633224,44091,0,0,44090,15
44191,2632188,44192,0,0,44190,6
44292,2632828,44292,0,0,44291,18
44392,2632996,44393,0,0,44391,17
44492,2633076,44492,0,0,44491,15
44593,2632356,44593,0,0,44592,10
44695,2632696,44695,0,0,44693,7
44794,2633616,44794,0,0,44793,21
44894,2633616,44895,0,0,44893,15
44994,2631840,44994,0,0,44993,22
45095,2630940,45095,0,0,45094,8
45196,2631716,45196,0,0,45194,8
45296,2632488,45296,0,0,45295,17
45396,2632340,45397,0,0,45395,17
45496,2632172,45497,0,0,45495,16
45597,2631120,45597,0,0,45596,9
45698,2631680,45699,0,0,45697,11
45798,2632480,45798,0,0,45797,21
45900,2632332,45901,0,0,45899,15
46000,2632332,46000,0,0,45999,22
46102,2631740,46103,0,0,46100,2
46201,2632308,46202,0,0,46200,18
46301,2632576,46301,0,0,46300,18
46402,2632576,46402,0,0,46401,16
46502,2631752,46502,0,0,46501,19
46603,2631732,46603,0,0,46602,2
46703,2632140,46704,0,0,46702,19
46804,2632472,46805,0,0,46803,18
46904,2632472,46904,0,0,46903,16
47004,2632392,47004,0,0,47003,21
47105,2632872,47106,0,0,47104,21
47205,2634180,47205,0,0,47204,30
47306,2635016,47306,0,0,47305,29
47406,2635632,47406,0,0,47405,30
47506,2637212,47507,0,0,47505,20
47607,2637924,47607,0,0,47606,18
47706,2638272,47707,0,0,47706,38
47808,2632204,47809,0,0,47807,19
47910,2632216,47910,0,0,47908,15
48008,2632236,48008,0,0,48008,27
48108,2631944,48109,0,0,48108,17
48208,2631788,48209,0,0,48208,7
48309,2632364,48309,0,0,48308,7
48409,2632164,48410,0,0,48409,16
48510,2632036,48510,0,0,48509,18
48611,2631572,48611,0,0,48610,9
48711,2631420,48711,0,0,48710,14
48811,2632332,48811,0,0,48810,31
48911,2633076,48911,0,0,48910,30
49011,2633076,49012,0,0,49011,26
49112,2634172,49112,0,0,49111,18
49212,2635824,49212,0,0,49211,34
49312,2636508,49313,0,0,49312,30
49413,2635748,49413,0,0,49412,24
49514,2631564,49514,0,0,49513,15
49615,2631960,49615,0,0,49614,25
49714,2632224,49715,0,0,49714,33
49814,2631324,49815,0,0,49814,16
49915,2631668,49916,0,0,49915,2
50016,2629180,50017,0,0,50015,20
50116,2629180,50117,0,0,50116,16
50216,2629180,50216,0,0,50215,16
50317,2628736,50317,0,0,50316,4
50417,2629704,50418,0,0,50416,15
50517,2629776,50518,0,0,50516,21
50617,2630608,50618,0,0,50617,30
50718,2630612,50718,0,0,50717,21
50818,2632244,50818,0,0,50817,22
50918,2632816,50919,0,0,50918,30
51019,2634300,51019,0,0,51018,35
51119,2634236,51119,0,0,51118,20
51220,2633940,51220,0,0,51219,10
51320,2630296,51321,0,0,51320,32
51420,2630476,51421,0,0,51420,35
51524,2629880,51525,0,0,51522,13
51624,2630644,51624,0,0,51622,26
51722,2631076,51723,0,0,51722,22
51823,2631076,51823,0,0,51822,19
51923,2630176,51924,0,0,51922,17
52025,2630276,52026,0,0,52024,4
52125,2631040,52126,0,0,52124,18
52226,2631040,52226,0,0,52224,14
52325,2631040,52325,0,0,52324,16
52425,2630148,52425,0,0,52424,7
52526,2629824,52527,0,0,52525,6
52626,2630324,52626,0,0,52625,19
52726,2630324,52727,0,0,52725,17
52827,2630084,52827,0,0,52826,17
52928,2629924,52928,0,0,52927,2
53028,2630080,53029,0,0,53028,16
53129,2630608,53130,0,0,53128,19
53229,2630608,53230,0,0,53228,20
53330,2630312,53330,0,0,53329,18
53432,2630388,53432,0,0,53431,9
53531,2630596,53532,0,0,53530,17
53632,2631220,53633,0,0,53631,17
53732,2631220,53732,0,0,53731,14
53833,2630924,53834,0,0,53832,9
53934,2630984,53935,0,0,53933,10
54034,2631460,54035,0,0,54033,19
54135,2631460,54135,0,0,54134,14
54234,2631460,54235,0,0,54233,18
54336,2630864,54336,0,0,54334,4
54436,2631400,54437,0,0,54435,14
54537,2631464,54537,0,0,54535,19
54636,2631476,54637,0,0,54635,17
54737,2631476,54737,0,0,54736,15
54839,2631128,54839,0,0,54837,4
54939,2631288,54939,0,0,54938,13
55039,2632080,55040,0,0,55038,19
55139,2632080,55139,0,0,55138,17
55239,2631820,55240,0,0,55238,19
55341,2631972,55341,0,0,55339,18
55440,2633760,55440,0,0,55439,28
55540,2634184,55540,0,0,55539,30
55641,2634964,55641,0,0,55640,36
55743,2635448,55743,0,0,55742,18
55842,2636780,55843,0,0,55841,35
55943,2637648,55943,0,0,55942,31
56043,2637660,56043,0,0,56042,17
56143,2631740,56143,0,0,56142,20
56243,2632436,56244,0,0,56243,30
56345,2632852,56345,0,0,56344,23
56444,2632948,56444,0,0,56444,24
56545,2632724,56545,0,0,56544,10
56646,2633656,56646,0,0,56645,17
56746,2633692,56746,0,0,56745,19
56846,2633940,56846,0,0,56845,24
56946,2633348,56946,0,0,56945,15
57048,2633364,57048,0,0,57047,4
57148,2634568,57148,0,0,57147,15
57247,2634420,57248,0,0,57247,14
57348,2634420,57348,0,0,57347,15
57449,2633916,57450,0,0,57448,7
57549,2633880,57550,0,0,57548,11
57650,2634544,57650,0,0,57649,20
57750,2634544,57750,0,0,57749,18
57850,2634544,57851,0,0,57849,17
57951,2633944,57952,0,0,57950,8
58051,2634664,58052,0,0,58050,17
58151,2635184,58152,0,0,58151,16
58252,2635184,58252,0,0,58251,17
58352,2634296,58353,0,0,58352,18
58453,2634232,58454,0,0,58453,5
58554,2634944,58554,0,0,58553,15
58654,2635004,58655,0,0,58653,17
58754,2635004,58755,0,0,58753,14
58855,2634856,58855,0,0,58854,14
58956,2635244,58957,0,0,58955,5
59056,2635832,59057,0,0,59055,20
59158,2635832,59158,0,0,59157,15
59257,2635832,59257,0,0,59256,17
59358,2635092,59358,0,0,59357,8
59459,2635296,59460,0,0,59458,7
59559,2635336,59560,0,0,59558,24
59661,2635452,59662,0,0,59660,18
59760,2635452,59760,0,0,59759,21
59860,2633232,59861,0,0,59859,17
59960,2633880,59961,0,0,59960,11
60062,2634312,60063,0,0,60061,20
60162,2635140,60162,0,0,60161,31
60262,2635044,60263,0,0,60261,35
60365,2635244,60365,0,0,60363,18
60463,2636612,60464,0,0,60462,28
60564,2638468,60564,0,0,60563,32
60664,2639236,60664,0,0,60663,33
60764,2638996,60765,0,0,60763,22
60865,2634204,60865,0,0,60864,19
60965,2634236,60965,0,0,60964,20
61065,2634120,61065,0,0,61065,27
61165,2633676,61166,0,0,61165,13
61267,2633484,61267,0,0,61266,10
61367,2634288,61368,0,0,61366,15
61468,2634236,61469,0,0,61467,16
61567,2634236,61568,0,0,61567,16
61668,2633820,61668,0,0,61667,5
61770,2634180,61770,0,0,61768,11
61868,2634936,61869,0,0,61868,24
61969,2635692,61969,0,0,61968,30
62069,2635596,62070,0,0,62068,27
62170,2636520,62171,0,0,62170,19
62270,2635444,62270,0,0,62269,41
62371,2637504,62371,0,0,62370,38
62471,2637024,62471,0,0,62470,20
62571,2637356,62571,0,0,62571,28
62672,2631940,62672,0,0,62671,29
62772,2631940,62773,0,0,62772,25
62872,2631792,62873,0,0,62872,16
62973,2632956,62974,0,0,62973,12
63073,2633204,63074,0,0,63073,14
63174,2633204,63174,0,0,63173,15
63275,2632464,63275,0,0,63274,8
63376,2632392,63376,0,0,63375,6
63475,2632528,63476,0,0,63474,22
63576,2632708,63576,0,0,63575,18
63676,2632820,63676,0,0,63675,26
63778,2633016,63778,0,0,63777,14
63877,2634328,63877,0,0,63876,31
63977,2634924,63978,0,0,63976,28
64077,2635708,64078,0,0,64077,34
64178,2636464,64178,0,0,64177,21
64279,2637444,64279,0,0,64278,13
64381,2632864,64381,0,0,64380,24
64480,2633152,64480,0,0,64479,35
64580,2633156,64580,0,0,64579,16
64681,2633400,64681,0,0,64680,31
64781,2633740,64781,0,0,64780,26
64881,2630484,64882,0,0,64880,22
64981,2629596,64982,0,0,64981,5
65082,2630020,65083,0,0,65082,11
65183,2630036,65183,0,0,65182,19
65283,2630036,65283,0,0,65282,15
65383,2629592,65383,0,0,65382,13
65484,2629468,65485,0,0,65483,2
65585,2629964,65585,0,0,65584,16
65684,2630008,65685,0,0,65684,14
65785,2630008,65785,0,0,65784,17
65886,2629120,65886,0,0,65885,4
65987,2629732,65988,0,0,65986,14
66086,2630656,66087,0,0,66086,27
66187,2630656,66187,0,0,66186,26
66287,2629760,66287,0,0,66286,23
66387,2630116,66388,0,0,66387,7
66488,2631312,66489,0,0,66488,34
66589,2632048,66589,0,0,66588,30
66689,2631728,66690,0,0,66688,30
66791,2632200,66792,0,0,66790,18
66891,2634240,66891,0,0,66890,34
66992,2635516,66992,0,0,66991,48
67091,2636576,67092,0,0,67090,22
67192,2631248,67192,0,0,67191,19
67296,2626580,67296,0,0,67295,34
67346,2626684,67346,0,0,67345,31
67447,2627096,67447,0,0,67446,21
67546,2626460,67547,0,0,67546,20
67649,2626648,67650,0,0,67647,8
67747,2628300,67748,0,0,67747,29
67848,2628784,67848,0,0,67847,35
67948,2631884,67949,0,0,67948,52
68049,2600292,68050,0,0,68048,25
68151,2600848,68154,0,0,68149,11
68250,2602024,68251,0,0,68249,22
68351,2601976,68352,0,0,68350,17
68451,2601980,68452,0,0,68450,16
68553,2601704,68554,0,0,68551,11
68652,2602360,68653,0,0,68651,16
68752,2602272,68753,0,0,68751,15
68854,2602524,68855,0,0,68853,17
68956,2601724,68957,0,0,68954,15
69058,2601576,69059,0,0,69056,5
69154,2603100,69155,0,0,69153,29
69261,2602884,69263,0,0,69258,17
69359,2602924,69360,0,0,69356,17
69460,2602088,69461,0,0,69457,11
69560,2602316,69561,0,0,69557,13
69657,2602988,69657,0,0,69656,23
69759,2602900,69760,0,0,69758,16
69862,2603060,69863,0,0,69859,18
69963,2602620,69964,0,0,69960,10
70060,2602876,70061,0,0,70059,11
70160,2603392,70161,0,0,70158,19
70262,2603404,70263,0,0,70260,17
70363,2603564,70365,0,0,70361,17
