Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
25,2354264,27,0,0,89,20
91,2354264,92,0,0,189,29
190,2354944,191,0,0,289,15
291,2355396,292,0,0,391,17
393,2354740,394,0,0,493,17
496,2354312,498,0,0,591,29
592,2355096,593,0,0,694,31
696,2355648,697,0,0,795,17
798,2355080,799,0,0,894,16
896,2353512,897,0,0,994,18
995,2353708,995,0,0,1094,16
1095,2353972,1096,0,0,1196,11
1199,2353656,1200,0,0,1297,2
1300,2353668,1301,0,0,1397,15
1399,2351128,1403,0,0,1497,16
1504,2349656,1508,0,0,1598,14
1601,2348872,1602,0,0,1700,5
1703,2346508,1705,0,0,1797,20
1799,2347068,1800,0,0,1899,15
1902,2346956,1903,0,0,2000,16
2003,2346956,2004,0,0,2103,6
2107,2343428,2109,0,0,2200,15
2201,2343832,2202,0,0,2300,18
2302,2343512,2303,0,0,2401,16
2403,2343640,2404,0,0,2504,6
2508,2343032,2510,0,0,2603,21
2606,2343580,2608,0,0,2703,15
2704,2343708,2705,0,0,2804,16
2807,2343120,2808,0,0,2906,2
2908,2343120,2909,0,0,3005,13
3007,2343964,3008,0,0,3105,12
3107,2344164,3108,0,0,3206,13
3207,2343992,3208,0,0,3309,6
3313,2343456,3314,0,0,3407,12
3409,2343860,3410,0,0,3506,14
3508,2343592,3508,0,0,3610,15
3613,2343592,3614,0,0,3708,20
3710,2342892,3711,0,0,3809,20
3810,2343016,3811,0,0,3909,26
3910,2343544,3911,0,0,4009,24
4010,2342496,4011,0,0,4110,16
4113,2343224,4114,0,0,4210,33
4211,2356532,4211,0,0,4310,40
4311,2358288,4312,0,0,4411,33
4412,2341900,4413,0,0,4512,22
4512,2343544,4513,0,0,4611,24
4612,2339348,4612,0,0,4712,27
4712,2339708,4712,0,0,4812,19
4813,2340060,4813,0,0,4913,29
4913,2341592,4913,0,0,5013,23
5013,2343580,5013,0,0,5113,16
5114,2343788,5114,0,0,5213,35
5214,2348392,5214,0,0,5314,40
5315,2343660,5315,0,0,5414,23
5415,2344360,5415,0,0,5515,29
5515,2345120,5515,0,0,5615,35
5615,2347456,5616,0,0,5716,21
5717,2347980,5718,0,0,5816,38
5816,2348248,5816,0,0,5916,35
5917,2339528,5917,0,0,6017,34
6017,2339932,6018,0,0,6118,26
6118,2340596,6119,0,0,6218,33
6218,2342148,6218,0,0,6318,28
6319,2344500,6319,0,0,6418,24
6419,2341200,6419,0,0,6519,35
6519,2342296,6520,0,0,6620,0
6621,2359000,6621,0,0,6720,47
6721,2358972,6721,0,0,6822,28
6825,2358876,6826,0,0,6921,41
6922,2360388,6922,0,0,7021,40
7022,2362236,7022,0,0,7122,30
7123,2361648,7123,0,0,7222,26
7222,2356436,7223,0,0,7322,41
7322,2358372,7323,0,0,7422,41
7423,2358868,7423,0,0,7523,44
7523,2359464,7523,0,0,7623,28
7624,2360436,7624,0,0,7723,40
7724,2362468,7724,0,0,7824,31
7824,2361776,7825,0,0,7924,25
7925,2356604,7925,0,0,8025,23
8025,2357584,8026,0,0,8125,44
8125,2359128,8126,0,0,8225,38
8226,2359752,8226,0,0,8325,31
8326,2359916,8326,0,0,8427,25
8427,2361760,8428,0,0,8527,32
8528,2362096,8528,0,0,8628,0
8629,2361612,8630,0,0,8729,58
8729,2358556,8730,0,0,8829,29
8830,2359292,8831,0,0,8931,55
8933,2360108,8934,0,0,9032,53
9034,2361248,9035,0,0,9131,50
9132,2361344,9132,0,0,9233,50
9234,2361276,9235,0,0,9333,37
9334,2362268,9334,0,0,9434,55
9435,2350320,9435,0,0,9533,36
9535,2349176,9535,0,0,9634,42
9636,2345080,9636,0,0,9734,38
9735,2344936,9735,0,0,9835,22
9836,2345552,9836,0,0,9935,40
9936,2348632,9937,0,0,10036,36
10036,2348484,10037,0,0,10136,37
10137,2349552,10137,0,0,10236,30
10237,2350356,10237,0,0,10337,40
10338,2349752,10338,0,0,10438,28
10439,2350416,10439,0,0,10538,43
10539,2345556,10540,0,0,10638,50
10639,2346020,10640,0,0,10738,27
10739,2345480,10740,0,0,10839,27
10840,2346504,10840,0,0,10939,38
10940,2347604,10941,0,0,11040,40
11041,2348200,11042,0,0,11140,38
11141,2349296,11141,0,0,11241,22
11242,2349676,11246,0,0,11340,28
11342,2350028,11343,0,0,11442,35
11443,2345548,11443,0,0,11542,43
11543,2346228,11544,0,0,11642,34
11643,2345836,11643,0,0,11742,38
11743,2346348,11744,0,0,11843,35
11845,2348108,11845,0,0,11943,35
11944,2347812,11945,0,0,12044,33
12045,2348836,12045,0,0,12144,33
12144,2348788,12145,0,0,12244,36
12245,2350692,12245,0,0,12344,25
12345,2345936,12346,0,0,12445,50
12445,2346472,12446,1041895,1041895,12545,31
12546,2346768,12546,1041895,1041895,12646,46
12647,2350884,12647,1041895,1041895,12746,49
12747,2352188,12747,1041895,1041895,12846,21
12847,2350560,12848,1041895,1041895,12946,33
12947,2351204,12948,1041895,1041895,13047,12
13048,2350612,13048,1041895,1041895,13147,38
13148,2351636,13149,1041895,1041895,13247,29
13248,2352028,13249,1041895,1041895,13348,30
13349,2351924,13349,1041895,1041895,13450,35
13451,2353892,13451,1041895,1041895,13549,26
13550,2353448,13550,1041895,1041895,13649,22
13650,2353796,13651,1041895,1041895,13750,50
13751,2356256,13752,1041895,1041895,13851,46
13853,2355716,13853,1041895,1041895,13952,44
13954,2355568,13955,1041895,1041895,14053,47
14055,2355568,14056,1041895,1041895,14154,50
14156,2354956,14157,1041895,1041895,14253,28
14254,2355048,14255,1041895,1041895,14353,39
14355,2357176,14355,1041895,1041895,14456,39
14458,2360884,14458,1041895,1041895,14556,37
14557,2364012,14558,1041895,1041895,14656,31
14657,2372784,14657,1041895,1041895,14759,5
14761,2372068,14763,1041895,1041895,14858,25
14860,2372712,14861,1041895,1041895,14958,22
14959,2372828,14960,1041895,1041895,15061,21
15065,2372828,15067,1041895,1041895,15160,22
15161,2372828,15163,1041895,1041895,15261,20
15263,2372832,15265,1041895,1041895,15363,14
15367,2372652,15369,1041895,1041895,15463,13
15466,2372472,15467,1041895,1041895,15562,22
15565,2373688,15566,1041895,1041895,15662,26
15664,2371764,15665,1041895,1041895,15763,22
15765,2371764,15766,1041895,1041895,15865,22
15866,2371764,15867,1041895,1041895,15965,25
15967,2370728,15968,1041895,1041895,16064,3
16066,2370808,16067,1041895,1041895,16164,25
16165,2371376,16166,1041895,1041895,16264,21
16265,2371760,16266,1041895,1041895,16367,20
16369,2371848,16370,1041895,1041895,16467,18
16469,2371848,16470,1041895,1041895,16568,20
16570,2371848,16576,1041895,1041895,16668,14
16669,2371100,16670,1041895,1041895,16768,13
16769,2371256,16771,1041895,1041895,16868,22
16869,2371788,16869,1041895,1041895,16973,16
16977,2371640,16979,1041895,1041895,17069,32
17070,2375628,17071,1041895,1041895,17169,36
17169,2387792,17170,1041895,1041895,17269,22
17270,2366388,17270,1041895,1041895,17370,22
17372,2367120,17373,1041895,1041895,17470,41
17471,2367672,17472,1041895,1041895,17573,37
17575,2368104,17576,1041895,1041895,17674,41
17675,2368584,17678,1041895,1041895,17774,44
17776,2369328,17777,1041895,1041895,17875,27
17877,2368876,17879,1041895,1041895,17974,30
17975,2370560,17975,1041895,1041895,18074,47
18075,2371232,18075,1041895,1041895,18174,33
18174,2372476,18175,1041895,1041895,18274,22
18275,2367696,18275,1041895,1041895,18375,37
18376,2364904,18376,1041895,1041895,18475,47
18475,2354592,18476,1041895,1041895,18576,63
18577,2357776,18577,1041895,1041895,18677,0
18679,2361572,18681,1041895,1041895,18777,43
18778,2359348,18778,1041895,1041895,18877,30
18878,2360944,18879,1041895,1041895,18978,23
18979,2357688,18979,1041895,1041895,19078,11
19080,2357836,19080,1041895,1041895,19179,29
19180,2358628,19180,1041895,1041895,19280,25
19281,2359064,19282,1041895,1041895,19380,23
19381,2359124,19382,1041895,1041895,19480,15
19482,2358976,19482,1041895,1041895,19581,12
19583,2358828,19584,1041895,1041895,19681,0
19685,2358248,19686,1041895,1041895,19781,25
19782,2358832,19783,1041895,1041895,19883,22
19886,2358684,19887,1041895,1041895,19984,23
19986,2358684,19987,1041895,1041895,20084,24
20086,2358684,20087,1041895,1041895,20183,21
20185,2358808,20186,1041895,1041895,20286,16
20288,2358088,20289,1041895,1041895,20386,8
20388,2358260,20389,1041895,1041895,20485,25
20486,2358944,20486,1041895,1041895,20588,22
20591,2358944,20592,1041895,1041895,20688,23
20690,2355096,20692,1041895,1041895,20791,18
20794,2355096,20796,1041895,1041895,20890,24
20893,2355328,20894,1041895,1041895,20992,26
20995,2355328,20996,1041895,1041895,21094,13
21097,2354292,21099,1041895,1041895,21192,21
21194,2355044,21194,1041895,1041895,21291,25
21293,2354996,21293,1041895,1041895,21394,24
21396,2354996,21397,1041895,1041895,21495,26
21497,2354996,21498,1041895,1041895,21547,17
21549,2354996,21551,1041895,1041895,21646,0
21648,2354996,21650,1041895,1041895,21744,29
21746,2354944,21746,1041895,1041895,21847,7
21850,2355132,21852,1041895,1041895,21945,21
21946,2356248,21947,1041895,1041895,22046,15
22047,2356248,22048,1041895,1041895,22148,17
22150,2356248,22152,1041895,1041895,22248,19
22250,2356424,22252,1041895,1041895,22346,31
22347,2356468,22348,1041895,1041895,22448,15
22450,2356748,22451,1041895,1041895,22547,32
22548,2358040,22549,1041895,1041895,22648,30
22649,2358896,22649,1041895,1041895,22748,31
22749,2360040,22749,1041895,1041895,22848,33
22849,2361532,22849,1041895,1041895,22949,8
22950,2359748,22950,1041895,1041895,23049,36
23049,2355340,23050,1041895,1041895,23149,23
23150,2355404,23150,1041895,1041895,23251,25
23252,2355356,23252,1041895,1041895,23350,27
23351,2355312,23351,1041895,1041895,23451,11
23451,2354572,23452,1041895,1041895,23551,7
23552,2354596,23552,1041895,1041895,23652,20
23652,2355228,23653,1041895,1041895,23752,19
23753,2355488,23753,1041895,1041895,23852,15
23853,2355192,23854,1041895,1041895,23953,11
23954,2352464,23954,1041895,1041895,24055,7
24056,2352232,24057,1041895,1041895,24154,30
24155,2353312,24155,1041895,1041895,24255,31
24255,2354088,24256,1041895,1041895,24355,31
24355,2354252,24356,1041895,1041895,24456,23
24457,2354304,24457,1041895,1041895,24557,24
24558,2355568,24558,1041895,1041895,24657,42
24658,2356020,24658,1041895,1041895,24757,23
24757,2357148,24758,1041895,1041895,24857,19
24858,2352592,24858,1041895,1041895,24957,32
24958,2352664,24958,1041895,1041895,25057,27
25058,2353308,25058,1041895,1041895,25158,36
25160,2354908,25160,1041895,1041895,25258,32
25259,2354632,25259,1041895,1041895,25359,20
25360,2354436,25360,1041895,1041895,25460,19
25460,2355848,25461,1041895,1041895,25560,22
25561,2357056,25562,1041895,1041895,25660,28
25661,2357376,25661,1041895,1041895,25760,28
25761,2357312,25761,1041895,1041895,25861,26
25861,2358204,25862,1041895,1041895,25961,17
25961,2357688,25962,1041895,1041895,26062,12
26063,2358432,26063,1041895,1041895,26162,18
26162,2357884,26162,1041895,1041895,26263,20
26263,2358072,26264,1041895,1041895,26363,16
26364,2358204,26364,1041895,1041895,26464,16
26464,2357464,26465,1041895,1041895,26565,5
26566,2357464,26567,1041895,1041895,26665,0
26666,2357020,26666,1041895,1041895,26766,20
26767,2357264,26768,1041895,1041895,26866,25
26867,2357272,26867,1041895,1041895,26967,21
26968,2357112,26968,1041895,1041895,27067,59
27068,2357780,27068,1041895,1041895,27168,21
27169,2357612,27169,1041895,1041895,27268,32
27269,2357476,27270,98982,98982,27368,32
27369,2357920,27370,98982,98982,27469,18
27470,2357772,27470,98982,98982,27569,22
27570,2357968,27570,98982,98982,27670,20
27670,2357080,27671,98982,98982,27770,6
27771,2356932,27771,98982,98982,27871,23
27871,2357588,27872,98982,98982,27971,24
27972,2357852,27972,98982,98982,28071,21
28072,2358052,28073,98982,98982,28172,22
28173,2358124,28173,98982,98982,28272,24
28274,2358092,28274,98982,98982,28373,18
28374,2357852,28375,98982,98982,28474,11
28475,2357772,28476,98982,98982,28574,21
28575,2359120,28575,98982,98982,28678,20
28680,2359120,28680,98982,98982,28778,20
28779,2358972,28779,98982,98982,28878,30
28878,2359208,28879,98982,98982,28978,36
28979,2358980,28979,98982,98982,29079,20
29080,2359700,29080,98982,98982,29179,40
29180,2359844,29180,98982,98982,29282,41
29284,2361144,29285,98982,98982,29382,37
29384,2361368,29386,98982,98982,29481,39
29483,2362740,29485,98982,98982,29581,46
29582,2363616,29583,98982,98982,29683,0
29685,2363716,29686,98982,98982,29781,34
29782,2358024,29782,98982,98982,29882,30
29883,2358312,29883,98982,98982,29982,34
29983,2358220,29984,98982,98982,30082,28
30083,2357564,30083,98982,98982,30183,1
30183,2357192,30183,98982,98982,30283,17
30283,2357776,30284,98982,98982,30384,15
30386,2358060,30386,98982,98982,30484,16
30485,2357912,30485,98982,98982,30584,17
30585,2357912,30585,98982,98982,30684,10
30685,2355692,30685,98982,98982,30785,12
30785,2355772,30786,98982,98982,30885,31
30886,2356432,30886,98982,98982,30985,30
30986,2356928,30987,98982,98982,31086,30
31086,2357424,31087,98982,98982,31187,18
31188,2357528,31189,98982,98982,31287,32
31287,2359492,31288,98982,98982,31387,42
31388,2359860,31388,98982,98982,31487,16
31488,2360096,31489,98982,98982,31588,23
31588,2355444,31589,98982,98982,31688,28
31689,2354696,31690,98982,98982,31788,39
31789,2357656,31789,98982,98982,31889,42
31889,2357744,31890,98982,98982,31989,24
31990,2357860,31990,98982,98982,32090,24
32090,2358516,32090,98982,98982,32190,13
32191,2359252,32192,98982,98982,32291,26
32292,2361188,32292,98982,98982,32391,30
32391,2361040,32392,98982,98982,32491,30
32492,2361192,32492,98982,98982,32592,31
32592,2361192,32592,98982,98982,32692,0
32693,2359716,32693,98982,98982,32793,24
32793,2359860,32794,98982,98982,32894,17
32895,2360100,32896,98982,98982,32994,21
32995,2360100,32996,98982,98982,33095,22
33096,2360100,33096,98982,98982,33196,21
33196,2360368,33197,98982,98982,33296,19
33297,2359900,33297,98982,98982,33397,5
33398,2360064,33399,98982,98982,33497,21
33498,2360672,33499,98982,98982,33599,25
33600,2361288,33601,98982,98982,33702,41
33704,2362012,33706,98982,98982,33800,38
33802,2362508,33802,98982,98982,33905,37
33909,2362756,33911,98982,98982,34005,28
34008,2363056,34010,98982,98982,34102,33
34107,2363376,34108,98982,98982,34202,42
34203,2364752,34203,98982,98982,34302,40
34302,2365904,34303,98982,98982,34402,38
34403,2364248,34403,98982,98982,34504,31
34505,2360032,34505,98982,98982,34604,16
34605,2359144,34605,98982,98982,34705,19
34708,2359204,34710,98982,98982,34805,29
34805,2359328,34806,98982,98982,34905,19
34906,2359240,34906,98982,98982,35006,18
35007,2358988,35007,98982,98982,35106,18
35107,2359228,35107,98982,98982,35207,5
35208,2358376,35209,98982,98982,35307,18
35308,2359420,35308,98982,98982,35408,16
35410,2359596,35410,98982,98982,35508,26
35509,2359964,35509,98982,98982,35609,36
35610,2357452,35610,98982,98982,35708,32
35709,2357356,35710,98982,98982,35809,17
35811,2357556,35812,98982,98982,35910,40
35911,2358768,35912,98982,98982,36011,35
36012,2358716,36013,98982,98982,36113,41
36115,2360792,36116,98982,98982,36211,49
36212,2360464,36213,98982,98982,36312,27
36312,2360384,36313,98982,98982,36412,18
36413,2355384,36413,98982,98982,36513,47
36514,2355748,36514,98982,98982,36613,46
36614,2356784,36614,98982,98982,36714,38
36714,2356956,36715,98982,98982,36816,31
36819,2356756,36820,98982,98982,36915,15
36917,2356092,36918,98982,98982,37015,31
37017,2357924,37018,98982,98982,37116,27
37117,2358912,37117,98982,98982,37217,22
37218,2358496,37218,98982,98982,37317,20
37319,2358532,37319,98982,98982,37418,18
37419,2358532,37419,98982,98982,37519,3
37520,2358080,37521,98982,98982,37619,19
37620,2358396,37621,98982,98982,37721,24
37724,2358932,37725,98982,98982,37821,20
37824,2358932,37827,98982,98982,37923,22
37925,2358932,37928,98982,98982,38023,23
38030,2358932,38031,98982,98982,38126,16
38128,2358436,38130,98982,98982,38223,15
38225,2358212,38226,98982,98982,38322,26
38323,2359424,38324,98982,98982,38427,20
38430,2359672,38431,98982,98982,38527,27
38528,2360068,38530,98982,98982,38628,22
38630,2360068,38632,98982,98982,38729,21
38732,2359328,38734,98982,98982,38830,3
38834,2359180,38835,98982,98982,38928,27
38929,2359700,38930,98982,98982,39028,20
39029,2359928,39030,98982,98982,39130,21
39132,2359928,39133,98982,98982,39233,22
39235,2360036,39237,98982,98982,39333,22
39336,2360076,39338,98982,98982,39432,12
39435,2359124,39437,98982,98982,39532,15
39534,2359172,39535,98982,98982,39631,0
39632,2359496,39633,98982,98982,39732,20
39733,2359496,39734,98982,98982,39835,19
39837,2359760,39838,98982,98982,39934,20
39936,2359760,39937,98982,98982,40036,5
40038,2358872,40040,98982,98982,40134,16
40135,2359832,40136,98982,98982,40235,19
40236,2359984,40237,98982,98982,40337,17
40339,2359924,40340,98982,98982,40438,25
40439,2360432,40440,98982,98982,40537,27
40538,2360832,40539,98982,98982,40640,18
40644,2361180,40647,98982,98982,40738,38
40739,2362820,40739,98982,98982,40839,31
40841,2363068,40841,98982,98982,40940,35
40942,2364952,40944,98982,98982,41039,28
41040,2364752,41041,98982,98982,41140,19
41141,2364612,41141,98982,98982,41239,27
41240,2359228,41240,98982,98982,41339,20
41340,2359176,41340,98982,98982,41440,30
41440,2359432,41441,98982,98982,41541,10
41541,2358940,41542,98982,98982,41642,7
41643,2359172,41643,98982,98982,41742,19
41743,2359516,41743,98982,98982,41841,17
41842,2359368,41842,98982,98982,41942,15
41942,2359368,41943,98982,98982,42042,14
42043,2358616,42043,98982,98982,42143,4
42144,2358468,42144,98982,98982,42243,40
42244,2359668,42244,98982,98982,42344,38
42344,2355644,42345,98982,98982,42444,29
42445,2356140,42445,98982,98982,42544,23
42545,2356192,42546,98982,98982,42645,32
42646,2357136,42647,98982,98982,42744,36
42745,2357640,42745,98982,98982,42845,44
42846,2359792,42847,98982,98982,42945,44
42946,2356892,42946,98982,98982,42995,48
42996,2356908,42996,98982,98982,43096,29
43097,2357380,43097,98982,98982,43197,28
43198,2359128,43198,98982,98982,43298,27
43299,2360128,43299,98982,98982,43397,25
43398,2360316,43398,98982,98982,43499,27
43499,2360908,43500,1787086,1787086,43599,24
43599,2361060,43600,1787086,1787086,43699,0
43700,2359916,43700,1787086,1787086,43800,16
43800,2360576,43801,1787086,1787086,43901,18
43902,2360780,43902,1787086,1787086,44000,21
44001,2360780,44001,1787086,1787086,44100,18
44101,2360780,44102,1787086,1787086,44202,20
44204,2360696,44205,1787086,1787086,44302,22
44303,2360760,44303,1787086,1787086,44402,12
44403,2360176,44403,1787086,1787086,44503,19
44504,2360296,44505,1787086,1787086,44604,21
44604,2361340,44605,1787086,1787086,44704,20
44705,2361340,44706,1787086,1787086,44804,22
44805,2361360,44806,1787086,1787086,44905,17
44906,2361360,44906,1787086,1787086,45005,20
45006,2361608,45007,1787086,1787086,45106,17
45107,2361016,45107,1787086,1787086,45207,10
45207,2360756,45208,1787086,1787086,45307,19
45308,2360972,45308,1787086,1787086,45409,18
45410,2361148,45410,1787086,1787086,45508,25
45508,2359324,45509,1787086,1787086,45608,22
45609,2359324,45610,1787086,1787086,45709,23
45710,2359324,45710,1787086,1787086,45809,21
45810,2359324,45811,1787086,1787086,45910,6
45911,2358584,45911,1787086,1787086,46010,19
46011,2359268,46011,1787086,1787086,46112,20
46113,2359520,46113,1787086,1787086,46211,21
46212,2359464,46212,1787086,1787086,46312,26
46312,2359480,46313,1787086,1787086,46412,24
46413,2359480,46414,1787086,1787086,46512,21
46513,2359480,46514,1787086,1787086,46614,10
46614,2358888,46615,1787086,1787086,46714,13
46715,2358908,46715,1787086,1787086,46814,22
46815,2359568,46815,1787086,1787086,46915,18
46916,2359568,46916,1787086,1787086,47015,39
47016,2360232,47016,1787086,1787086,47118,35
47119,2360504,47120,1787086,1787086,47218,41
47220,2360948,47221,1787086,1787086,47319,36
47321,2356784,47323,1787086,1787086,47420,30
47422,2357012,47423,1787086,1787086,47518,37
47518,2358764,47519,1787086,1787086,47618,35
47619,2360084,47619,1787086,1787086,47718,0
47718,2360204,47719,1787086,1787086,47818,35
47819,2359460,47819,1787086,1787086,47919,15
47920,2353244,47920,1787086,1787086,48020,11
48022,2353096,48022,1787086,1787086,48120,33
48120,2353008,48121,1787086,1787086,48220,22
48221,2353340,48221,1787086,1787086,48320,15
48321,2353420,48321,1787086,1787086,48421,26
48421,2352728,48422,1787086,1787086,48522,13
48523,2353252,48523,1787086,1787086,48622,17
48622,2353896,48623,1787086,1787086,48722,19
48723,2353748,48723,1787086,1787086,48822,14
48823,2353748,48823,1787086,1787086,48923,18
48923,2353900,48924,1787086,1787086,49023,26
49024,2354776,49024,1787086,1787086,49123,33
49124,2356648,49125,1787086,1787086,49224,29
49225,2356428,49225,1787086,1787086,49324,36
49325,2358028,49326,1787086,1787086,49425,17
49425,2358196,49426,1787086,1787086,49525,28
49526,2358644,49526,1787086,1787086,49625,31
49626,2354256,49626,1787086,1787086,49726,22
49727,2354116,49727,1787086,1787086,49826,18
49827,2353080,49827,1787086,1787086,49926,4
49927,2351332,49927,1787086,1787086,50027,16
50028,2352132,50028,1787086,1787086,50127,14
50128,2351984,50128,1787086,1787086,50228,15
50228,2351760,50229,1787086,1787086,50328,14
50328,2350996,50329,1787086,1787086,50429,12
50430,2351188,50430,1787086,1787086,50529,18
50530,2348868,50531,1787086,1787086,50629,23
50630,2348640,50630,1787086,1787086,50730,0
50731,2348916,50731,1787086,1787086,50830,36
50832,2349412,50832,1787086,1787086,50931,25
50933,2349672,50933,1787086,1787086,51031,33
51032,2350236,51033,1787086,1787086,51133,39
51134,2351040,51134,1787086,1787086,51234,41
51236,2352344,51237,1787086,1787086,51334,50
51335,2352676,51335,1787086,1787086,51434,32
51434,2352872,51435,1787086,1787086,51534,8
51535,2347396,51536,1787086,1787086,51635,46
51635,2348652,51636,1787086,1787086,51735,42
51736,2349728,51737,1787086,1787086,51836,29
51837,2349656,51838,1787086,1787086,51936,35
51937,2349808,51937,1787086,1787086,52036,22
52037,2350952,52038,1787086,1787086,52137,17
52138,2352160,52139,1787086,1787086,52237,30
52238,2352916,52238,1787086,1787086,52338,27
52339,2353104,52339,1787086,1787086,52438,27
52439,2353588,52440,1787086,1787086,52538,31
52539,2353588,52540,1787086,1787086,52639,37
52640,2354192,52640,1787086,1787086,52740,38
52741,2354556,52741,1787086,1787086,52841,46
52842,2355488,52843,1787086,1787086,52943,53
52944,2354720,52945,1787086,1787086,53043,39
53044,2354424,53044,1787086,1787086,53143,38
53145,2357672,53145,1787086,1787086,53245,13
53247,2357812,53248,1787086,1787086,53344,37
53345,2370632,53346,1787086,1787086,53445,21
53446,2370932,53446,1787086,1787086,53547,23
53549,2370784,53550,1787086,1787086,53647,28
53649,2370956,53650,1787086,1787086,53749,20
53753,2370976,53755,1787086,1787086,53849,10
53851,2370088,53854,1787086,1787086,53947,18
53948,2370596,53949,1787086,1787086,54047,18
54049,2370828,54049,1787086,1787086,54150,24
54153,2370532,54154,1787086,1787086,54250,19
54253,2370512,54254,1787086,1787086,54350,25
54351,2370536,54352,1787086,1787086,54450,18
54452,2370004,54453,1787086,1787086,54552,8
54555,2370216,54556,1787086,1787086,54650,21
54651,2370856,54652,1787086,1787086,54751,20
54753,2371084,54753,1787086,1787086,54856,23
54858,2371084,54860,1787086,1787086,54954,25
54956,2371084,54958,1787086,1787086,55055,25
55057,2371084,55059,1787086,1787086,55156,11
55158,2369900,55160,1787086,1787086,55256,12
55257,2369980,55258,1787086,1787086,55355,19
55356,2371268,55357,1787086,1787086,55458,22
55460,2371268,55462,1787086,1787086,55558,22
55560,2371268,55561,1787086,1787086,55659,24
55661,2371268,55663,1787086,1787086,55758,23
55759,2370380,55760,1787086,1787086,55860,5
55864,2370380,55868,1787086,1787086,55958,23
55959,2370916,55960,1787086,1787086,56062,22
56066,2371828,56068,1787086,1787086,56161,22
56163,2371828,56165,1787086,1787086,56260,24
56261,2371828,56261,1787086,1787086,56360,23
56361,2371700,56361,1787086,1787086,56465,15
56467,2370576,56469,1787086,1787086,56562,16
56564,2371296,56567,1787086,1787086,56661,38
56662,2372136,56662,1787086,1787086,56761,0
56762,2372576,56762,1787086,1787086,56864,35
56865,2373320,56866,1787086,1787086,56965,31
56967,2373372,56969,1787086,1787086,57067,18
57069,2375524,57071,1787086,1787086,57163,48
57164,2376412,57164,1787086,1787086,57263,43
57264,2378644,57264,1787086,1787086,57363,43
57364,2374972,57364,1787086,1787086,57464,39
57464,2372528,57465,1787086,1787086,57564,29
57565,2359740,57565,1787086,1787086,57665,11
57667,2359092,57667,1787086,1787086,57766,28
57768,2359756,57768,1787086,1787086,57865,21
57866,2360272,57866,1787086,1787086,57966,29
57967,2360272,57967,1787086,1787086,58066,21
58067,2360124,58068,1787086,1787086,58167,11
58167,2359584,58168,1787086,1787086,58267,4
58268,2359536,58269,1787086,1787086,58368,21
58369,2360388,58370,0,0,58468,15
58469,2360388,58470,0,0,58568,14
58569,2360316,58570,0,0,58669,0
58670,2359748,58670,0,0,58769,20
58770,2359748,58771,0,0,58870,10
58872,2359156,58872,0,0,58971,16
58972,2359328,58972,0,0,59071,25
59072,2360140,59072,0,0,59172,25
59174,2360028,59174,0,0,59272,15
59273,2360112,59273,0,0,59372,23
59374,2360112,59374,0,0,59473,21
59474,2360072,59474,0,0,59573,18
59574,2360072,59575,0,0,59674,8
59675,2359776,59676,0,0,59774,17
59775,2360480,59775,0,0,59875,21
59876,2360772,59877,0,0,59976,18
59979,2360772,59980,0,0,60077,24
60079,2360772,60080,0,0,60177,23
60178,2360800,60178,0,0,60277,25
60278,2361012,60279,0,0,60378,15
60379,2360704,60380,0,0,60479,6
60480,2360260,60481,0,0,60579,24
60580,2360664,60581,0,0,60679,31
60680,2358736,60681,0,0,60780,28
60781,2358736,60782,0,0,60882,20
60883,2358736,60883,0,0,60982,26
60983,2358736,60984,0,0,61083,21
61084,2358736,61084,0,0,61184,27
61185,2357988,61185,0,0,61284,8
61285,2358356,61285,0,0,61384,32
61385,2359428,61385,0,0,61488,36
61490,2359524,61491,0,0,61588,40
61589,2360268,61591,0,0,61688,0
61690,2360516,61691,0,0,61789,31
61791,2361260,61793,0,0,61893,25
61895,2361712,61897,0,0,61987,27
61988,2363824,61988,0,0,62087,22
62088,2364476,62088,0,0,62187,37
62188,2364064,62188,0,0,62288,23
62289,2359016,62289,0,0,62390,27
62391,2358948,62391,0,0,62489,21
62490,2357756,62490,0,0,62589,14
62590,2358512,62590,0,0,62690,18
62691,2359008,62691,0,0,62790,17
62791,2358712,62791,0,0,62890,15
62891,2358712,62891,0,0,62991,13
62991,2357972,62992,0,0,63092,8
63093,2357824,63093,0,0,63192,21
63192,2358352,63193,0,0,63292,32
63292,2358900,63293,0,0,63392,31
63393,2359644,63393,0,0,63492,25
63493,2359320,63493,0,0,63593,20
63594,2360072,63594,0,0,63693,30
63694,2361892,63694,0,0,63793,34
63794,2363192,63794,0,0,63894,25
63894,2363284,63895,0,0,63994,16
63995,2357984,63995,0,0,64094,9
64095,2357984,64095,0,0,64195,26
64196,2357704,64196,0,0,64295,17
64296,2358212,64296,0,0,64395,15
64396,2358240,64397,0,0,64496,8
64497,2357944,64497,0,0,64597,5
64597,2358060,64598,0,0,64697,0
64698,2358140,64699,0,0,64798,22
64798,2357992,64799,0,0,64897,21
64898,2357992,64899,0,0,64998,21
64999,2358376,65000,0,0,65098,35
65099,2358504,65099,0,0,65200,22
65201,2359160,65202,0,0,65299,37
65300,2359764,65301,0,0,65401,34
65403,2360508,65404,0,0,65501,40
65503,2360508,65504,0,0,65602,39
65605,2362044,65606,0,0,65701,43
