RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64375,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61563,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45260,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66354,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",852031,0,1,5,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",306667,0,1,5,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",248021,0,1,2,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",35104,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",359635,0,1,2,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63230,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",290521,0,1,2,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48541,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",75104,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",505885,0,1,5,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",311615,0,1,2,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",83021,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58490,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61511,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55157,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57396,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56354,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65834,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58593,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49583,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61198,0,0,0,True
4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",74635,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",710156,0,1,5,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",284636,0,1,5,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",251459,0,1,2,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38125,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",201771,0,1,2,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56562,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",273020,0,1,2,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54948,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46719,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",452187,0,1,5,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",294739,0,1,2,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43281,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56562,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53281,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49166,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63386,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47552,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59531,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53281,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",93698,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",77136,0,0,0,True
5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55105,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",811302,0,1,5,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",270000,0,1,5,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",460989,0,1,2,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",33385,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",251198,0,1,2,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",33021,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",216719,0,1,2,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42552,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52969,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",601563,0,1,5,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",477448,0,1,2,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45000,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",71927,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",37396,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70989,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56198,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52552,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65781,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50000,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",68645,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",86302,0,0,0,True
6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",105469,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",836718,0,1,5,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",271302,0,1,5,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",408125,0,1,2,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",34687,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",304948,0,1,2,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64271,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",262344,0,1,2,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48489,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57969,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",516979,0,1,5,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",283281,0,1,2,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48489,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70677,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51041,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53073,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48854,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66771,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",94375,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52969,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45156,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",68855,0,0,0,True
7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58177,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1732187,0,1,5,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",458125,0,1,5,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",404948,0,1,2,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44218,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",231250,0,1,2,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50417,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",352031,0,1,2,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65000,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58750,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",502031,0,1,5,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",347239,0,1,2,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",72136,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",69427,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65573,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48073,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",73594,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66250,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",71875,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42500,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63907,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58177,0,0,0,True
8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56042,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1130989,0,1,5,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",480625,0,1,5,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",296302,0,1,2,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48073,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",403230,0,1,2,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61718,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",949635,0,1,2,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54323,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",76511,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",476875,0,1,5,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",381615,0,1,2,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66719,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",75416,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55625,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53958,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51407,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70990,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62969,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",84531,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",76354,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56771,0,0,0,True
9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",68177,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",883073,0,1,5,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",337813,0,1,5,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1637136,0,1,2,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64480,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",553438,0,1,2,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57135,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",405573,0,1,2,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63490,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",75313,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",399687,0,1,5,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",367292,0,1,2,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",78229,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65625,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",347083,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52552,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54948,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",82500,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",71562,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59271,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",74323,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",93229,0,0,0,True
10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59115,0,0,0,True
