TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
nappagreedy,RedReader,org.quantumbadger.redreader,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",293386,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",99844,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51875,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",704218,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54792,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2682552,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53854,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",95521,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60208,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",78594,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",105886,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",453906,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61198,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",484479,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",623698,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55052,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51615,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",472917,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52552,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",506250,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1240417,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55000,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",666303,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66823,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",525104,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",284427,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",306041,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",165208,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",80469,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",526667,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50260,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",875937,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56823,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57396,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54843,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",68281,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62760,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",430000,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",77813,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",499062,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",575000,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",36458,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43594,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",710365,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38593,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",864479,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",523490,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",206302,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",728438,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",110156,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",648333,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",147864,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",221979,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44271,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64219,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",352656,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51458,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",955208,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61718,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50312,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47292,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",73959,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56875,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",378177,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55833,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1054010,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",511093,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51407,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56615,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",927968,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52656,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",484584,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",455417,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51250,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",551979,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",73594,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1811250,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",235834,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",290729,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55157,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",71562,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",435365,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70417,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",733906,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56875,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58490,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59687,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55053,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53697,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",433750,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48438,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",498021,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",483386,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50364,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47864,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1847656,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56250,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",571198,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",618906,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60833,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1044740,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",71146,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",484688,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",247552,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",322136,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",101718,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46302,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",564010,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",80261,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3129323,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55417,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",87187,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50157,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",90260,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",67708,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",411614,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56563,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",563698,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",500104,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51875,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59010,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",480573,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63907,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",451980,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",793958,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46355,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",497136,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",69375,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",460833,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",245156,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",326771,0,1,1,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",108958,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59688,0,0,0,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",576510,0,1,3,True
nappagreedy,RedReader,org.quantumbadger.redreader,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70729,0,0,0,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,"TfprPrefetchingStrategy",833,0,0,0,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,"TfprPrefetchingStrategy",1719,0,0,0,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,"TfprPrefetchingStrategy",1458,0,0,0,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,"TfprPrefetchingStrategy",1665625,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,"TfprPrefetchingStrategy",904375,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,"TfprPrefetchingStrategy",840573,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,"TfprPrefetchingStrategy",3569010,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,"TfprPrefetchingStrategy",863073,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,"TfprPrefetchingStrategy",4900938,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,"TfprPrefetchingStrategy",350052,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,"TfprPrefetchingStrategy",574062,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,"TfprPrefetchingStrategy",820156,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,"TfprPrefetchingStrategy",705729,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,"TfprPrefetchingStrategy",822291,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,"TfprPrefetchingStrategy",1910000,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,"TfprPrefetchingStrategy",805729,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,"TfprPrefetchingStrategy",1919115,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,"TfprPrefetchingStrategy",622760,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,"TfprPrefetchingStrategy",704271,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,"TfprPrefetchingStrategy",743854,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,"TfprPrefetchingStrategy",1094271,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,"TfprPrefetchingStrategy",774219,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,"TfprPrefetchingStrategy",760052,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,"TfprPrefetchingStrategy",750781,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,4,"TfprPrefetchingStrategy",2302709,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,4,"TfprPrefetchingStrategy",947813,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,4,"TfprPrefetchingStrategy",608438,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,4,"TfprPrefetchingStrategy",505052,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,4,"TfprPrefetchingStrategy",851042,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,4,"TfprPrefetchingStrategy",968177,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,4,"TfprPrefetchingStrategy",816562,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,4,"TfprPrefetchingStrategy",861198,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,5,"TfprPrefetchingStrategy",2161354,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,5,"TfprPrefetchingStrategy",349739,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,5,"TfprPrefetchingStrategy",657396,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,5,"TfprPrefetchingStrategy",680782,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,5,"TfprPrefetchingStrategy",760156,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,5,"TfprPrefetchingStrategy",841719,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,5,"TfprPrefetchingStrategy",780260,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,5,"TfprPrefetchingStrategy",740156,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,6,"TfprPrefetchingStrategy",1848906,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,6,"TfprPrefetchingStrategy",1087969,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,6,"TfprPrefetchingStrategy",636198,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,6,"TfprPrefetchingStrategy",733125,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,6,"TfprPrefetchingStrategy",677083,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,6,"TfprPrefetchingStrategy",839010,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,6,"TfprPrefetchingStrategy",936094,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,6,"TfprPrefetchingStrategy",772708,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,7,"TfprPrefetchingStrategy",2867709,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,7,"TfprPrefetchingStrategy",379531,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,7,"TfprPrefetchingStrategy",637500,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,7,"TfprPrefetchingStrategy",1043125,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,7,"TfprPrefetchingStrategy",839167,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,7,"TfprPrefetchingStrategy",674427,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,7,"TfprPrefetchingStrategy",810521,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,7,"TfprPrefetchingStrategy",645156,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,8,"TfprPrefetchingStrategy",2470937,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,8,"TfprPrefetchingStrategy",413594,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,8,"TfprPrefetchingStrategy",578437,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,8,"TfprPrefetchingStrategy",721406,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,8,"TfprPrefetchingStrategy",852709,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,8,"TfprPrefetchingStrategy",704427,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,8,"TfprPrefetchingStrategy",699739,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,8,"TfprPrefetchingStrategy",837760,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,9,"TfprPrefetchingStrategy",2540416,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,9,"TfprPrefetchingStrategy",493854,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,9,"TfprPrefetchingStrategy",817396,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,9,"TfprPrefetchingStrategy",684115,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,9,"TfprPrefetchingStrategy",730886,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,9,"TfprPrefetchingStrategy",867552,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,9,"TfprPrefetchingStrategy",1492969,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,9,"TfprPrefetchingStrategy",1873437,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,10,"TfprPrefetchingStrategy",2328645,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,10,"TfprPrefetchingStrategy",822969,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,10,"TfprPrefetchingStrategy",761458,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,10,"TfprPrefetchingStrategy",727552,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,10,"TfprPrefetchingStrategy",800677,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,10,"TfprPrefetchingStrategy",780938,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,10,"TfprPrefetchingStrategy",1272031,0,1,1,True
nappatfpr,UOB TimeTable,com.ak.uobtimetable,10,"TfprPrefetchingStrategy",759895,0,1,1,True
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,1,"TfprPrefetchingStrategy",1562,0,0,0,True
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,1,"TfprPrefetchingStrategy",3281,0,0,0,True
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,1,"TfprPrefetchingStrategy",2254791,0,1,1,True
