Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
59,2401860,60,0,0,26,1
131,2403572,132,0,0,125,28
226,2407540,226,0,0,224,42
326,2413724,327,0,0,325,33
427,2424904,428,0,0,426,32
527,2446348,527,0,0,525,35
626,2469372,627,0,0,625,36
677,2479020,678,0,0,676,35
780,2502684,781,0,0,778,37
877,2511216,878,0,0,877,28
978,2520360,978,0,0,977,30
1078,2524680,1078,0,0,1077,36
1178,2530560,1178,0,0,1177,34
1278,2532196,1279,0,0,1278,44
1379,2534056,1380,0,0,1378,23
1480,2535076,1480,0,0,1479,14
1580,2539296,1582,0,0,1579,29
1680,2544388,1680,0,0,1679,50
1780,2512544,1781,0,0,1779,29
1882,2519024,1884,0,0,1880,39
1981,2528688,1982,0,0,1980,35
2084,2533428,2086,0,0,2083,36
2183,2533348,2184,0,0,2181,26
2282,2535328,2283,0,0,2281,27
2383,2540180,2384,0,0,2382,36
2483,2536848,2484,0,0,2482,24
2587,2536456,2588,0,0,2585,12
2685,2537668,2686,0,0,2684,22
2785,2538552,2786,0,0,2784,23
2887,2538332,2888,0,0,2885,18
2988,2538000,2990,0,0,2986,18
3091,2537904,3092,0,0,3088,10
3188,2538884,3189,0,0,3186,19
3288,2538984,3289,0,0,3287,23
3390,2538984,3391,0,0,3388,21
3492,2538200,3493,0,0,3490,16
3593,2538456,3594,0,0,3590,11
3691,2539440,3692,0,0,3690,24
3791,2539548,3791,0,0,3789,26
3891,2539952,3891,0,0,3890,28
3995,2539340,3996,0,0,3992,10
4094,2539280,4094,0,0,4092,16
4192,2540036,4193,0,0,4191,17
4292,2546620,4293,0,0,4291,20
4392,2560192,4393,0,0,4391,0
4493,2558864,4493,0,0,4492,20
4593,2537644,4594,0,0,4592,11
4693,2537644,4694,0,0,4693,21
4797,2537496,4798,0,0,4795,19
4898,2536936,4900,0,0,4896,23
4998,2536816,5001,0,0,4996,11
5096,2538028,5097,0,0,5095,22
5199,2538376,5200,0,0,5197,20
5300,2538456,5302,0,0,5298,26
5403,2538308,5405,0,0,5400,26
5503,2537860,5505,0,0,5501,11
5601,2538480,5602,0,0,5599,22
5699,2538492,5700,0,0,5698,20
5805,2538700,5807,0,0,5803,25
5905,2539004,5906,0,0,5903,21
6001,2538680,6001,0,0,6000,30
6102,2539908,6103,0,0,6101,30
6201,2541428,6202,0,0,6201,36
6301,2542028,6302,0,0,6301,45
6401,2543700,6402,0,0,6401,33
6501,2544628,6502,0,0,6501,27
6602,2545140,6602,0,0,6601,10
6702,2540300,6702,0,0,6701,18
6803,2547752,6803,0,0,6802,37
6903,2555408,6903,0,0,6902,33
7003,2548224,7003,0,0,7002,18
7104,2549668,7105,0,0,7103,32
7204,2550760,7204,0,0,7203,29
7304,2546728,7305,0,0,7303,43
7405,2551164,7405,0,0,7404,27
7505,2550868,7505,0,0,7504,13
7606,2551932,7607,0,0,7605,26
7710,2552112,7710,0,0,7708,22
7806,2552204,7807,0,0,7805,23
7907,2552036,7907,0,0,7906,18
8007,2551264,8008,0,0,8006,5
8108,2551312,8109,0,0,8107,13
8208,2552016,8209,0,0,8207,20
8308,2552264,8309,0,0,8307,23
8409,2552264,8409,0,0,8408,20
8510,2551524,8510,0,0,8509,16
8611,2551484,8612,0,0,8610,14
8711,2552812,8712,0,0,8710,26
8813,2552812,8814,0,0,8813,27
8913,2552692,8914,0,0,8912,22
9014,2552164,9014,0,0,9013,20
9115,2552380,9116,0,0,9114,8
9215,2553360,9216,0,0,9214,20
9315,2553212,9316,0,0,9314,17
9416,2553460,9416,0,0,9415,16
9516,2553164,9516,0,0,9515,20
9618,2552572,9619,0,0,9616,11
9718,2552980,9718,0,0,9716,10
9817,2553560,9817,0,0,9816,20
9919,2553784,9920,0,0,9917,15
10018,2553684,10019,0,0,10017,24
10119,2553260,10119,0,0,10118,15
10220,2553112,10221,0,0,10219,4
10320,2554124,10321,0,0,10319,22
10422,2554364,10422,0,0,10421,20
10521,2554216,10521,0,0,10520,17
10622,2554216,10622,0,0,10620,25
10723,2553704,10724,0,0,10721,20
10822,2555300,10823,0,0,10821,33
10923,2556284,10923,0,0,10922,34
11026,2557276,11027,0,0,11025,33
11124,2554872,11124,0,0,11123,50
11225,2556396,11225,0,0,11224,20
11324,2557116,11325,0,0,11324,49
11425,2558076,11425,0,0,11424,19
11525,2553044,11526,0,0,11525,28
11625,2558992,11626,0,0,11625,38
11726,2561080,11726,0,0,11725,25
11826,2562156,11826,0,0,11826,37
11927,2564184,11927,0,0,11926,38
12027,2564040,12027,0,0,12026,36
12128,2555648,12128,0,0,12127,26
12228,2555052,12228,0,0,12227,8
12329,2555260,12330,0,0,12328,13
12429,2555504,12430,0,0,12429,23
12529,2555980,12529,0,0,12528,21
12629,2555980,12630,0,0,12629,20
12730,2555388,12730,0,0,12729,12
12831,2555892,12831,0,0,12830,10
12931,2556656,12931,0,0,12930,21
13031,2556808,13031,0,0,13030,25
13132,2556808,13132,0,0,13131,20
13233,2556216,13233,0,0,13232,36
13334,2556216,13334,0,0,13333,23
13434,2557008,13434,0,0,13433,27
13534,2557008,13535,0,0,13533,18
13635,2556860,13635,0,0,13634,26
13735,2557088,13736,0,0,13735,26
13836,2556348,13836,0,0,13835,16
13937,2556332,13937,0,0,13936,16
14037,2557248,14037,0,0,14036,20
14138,2557248,14138,0,0,14137,20
14238,2557248,14239,0,0,14238,27
14339,2556656,14339,0,0,14338,25
14440,2555916,14441,0,0,14439,15
14540,2555796,14541,0,0,14540,23
14641,2556020,14641,0,0,14640,22
14741,2555872,14741,0,0,14740,26
14842,2555724,14842,0,0,14841,25
14942,2555408,14943,0,0,14941,16
15043,2555376,15044,0,0,15042,22
15143,2556460,15144,0,0,15143,22
15243,2556460,15244,0,0,15243,19
15344,2556544,15345,0,0,15343,24
15444,2556396,15445,0,0,15443,20
15545,2556052,15545,0,0,15544,31
15645,2556620,15645,0,0,15644,23
15746,2558316,15746,0,0,15745,36
15846,2558912,15846,0,0,15845,34
15946,2559640,15947,0,0,15946,41
16047,2560828,16047,0,0,16046,35
16152,2556688,16152,0,0,16148,4
16247,2557204,16248,0,0,16247,39
16348,2552268,16348,0,0,16347,30
16449,2552472,16450,0,0,16448,20
16549,2550844,16549,0,0,16548,19
16649,2551024,16649,0,0,16648,7
16750,2551540,16751,0,0,16749,18
16852,2551456,16852,0,0,16850,19
16951,2551576,16951,0,0,16949,18
17050,2551204,17051,0,0,17050,18
17151,2551204,17151,0,0,17150,3
17252,2551692,17253,0,0,17251,20
17352,2552820,17352,0,0,17351,31
17452,2553316,17452,0,0,17451,31
17552,2553368,17552,0,0,17551,31
17653,2553864,17654,0,0,17653,18
17753,2556176,17753,0,0,17752,31
17853,2556064,17853,0,0,17852,36
17954,2556308,17954,0,0,17953,19
18054,2551824,18054,0,0,18053,27
18154,2555448,18154,0,0,18153,25
18255,2561384,18255,0,0,18254,34
18356,2561712,18356,0,0,18355,35
18455,2561452,18456,0,0,18455,32
18556,2561452,18556,0,0,18555,22
18656,2564720,18657,0,0,18656,17
18756,2570368,18757,0,0,18756,29
18857,2570988,18857,0,0,18856,35
18957,2570768,18958,0,0,18957,33
19057,2562544,19058,0,0,19057,30
19160,2558056,19161,0,0,19159,13
19259,2559276,19259,0,0,19258,21
19359,2558764,19360,0,0,19358,0
19459,2554856,19460,0,0,19458,23
19560,2554708,19560,0,0,19559,23
19661,2554864,19661,0,0,19660,33
19761,2554568,19762,0,0,19760,22
19862,2554708,19862,0,0,19861,26
19962,2554760,19962,0,0,19961,21
20064,2555440,20065,0,0,20063,34
20167,2555688,20168,0,0,20165,40
20267,2556036,20268,0,0,20265,46
20367,2555988,20368,0,0,20365,43
20467,2557104,20469,0,0,20466,33
20566,2557360,20568,0,0,20565,47
20666,2559880,20667,0,0,20665,40
20766,2560432,20767,0,0,20766,41
20868,2561104,20868,0,0,20867,25
20967,2556252,20968,0,0,20966,36
21067,2555048,21068,0,0,21066,15
21169,2554704,21170,0,0,21168,35
21269,2555152,21270,0,0,21268,26
21369,2555504,21370,0,0,21368,38
21470,2555356,21471,0,0,21469,25
21570,2555356,21571,0,0,21569,20
21672,2554320,21673,0,0,21670,8
21772,2555288,21773,0,0,21771,28
21871,2552924,21872,0,0,21870,32
21971,2553404,21972,0,0,21970,32
22072,2553876,22072,0,0,22071,38
22172,2554620,22173,0,0,22171,38
22273,2554572,22273,0,0,22272,23
22372,2555612,22373,0,0,22371,43
22476,2555860,22477,0,0,22474,43
22576,2557584,22578,0,0,22574,42
22674,2557472,22674,0,0,22673,58
22774,2557324,22775,0,0,22773,21
22881,2552264,22881,0,0,22880,13
22975,2553740,22976,0,0,22974,44
23076,2554272,23076,0,0,23075,37
23176,2554476,23176,0,0,23175,22
23276,2554392,23277,0,0,23276,29
23377,2553644,23377,0,0,23376,16
23477,2554028,23478,0,0,23477,5
23578,2554640,23578,0,0,23577,25
23678,2554640,23678,0,0,23677,18
23778,2554696,23779,0,0,23778,24
23879,2554688,23879,0,0,23878,22
23979,2554080,23980,0,0,23978,22
24080,2554184,24080,0,0,24079,3
24180,2555152,24180,0,0,24179,23
24281,2555152,24281,0,0,24280,25
24381,2555004,24381,0,0,24380,30
24482,2555004,24482,0,0,24481,26
24582,2555004,24583,0,0,24581,26
24683,2554264,24684,0,0,24682,16
24784,2554680,24784,0,0,24783,13
24884,2554920,24884,0,0,24883,33
24984,2555384,24985,0,0,24984,40
25086,2556052,25087,0,0,25085,44
25187,2556336,25188,0,0,25186,45
25288,2556996,25289,0,0,25287,45
25391,2556840,25393,0,0,25388,31
25487,2558452,25487,0,0,25486,47
25587,2560484,25587,0,0,25586,44
25687,2560684,25688,0,0,25686,28
25787,2556284,25788,0,0,25786,44
25888,2556072,25888,0,0,25887,34
25988,2555640,25989,0,0,25987,23
26038,2555492,26039,0,0,26038,16
26138,2556000,26139,0,0,26138,23
26239,2556000,26240,0,0,26238,24
26340,2554564,26340,0,0,26339,43
26440,2554812,26440,0,0,26439,21
26541,2554444,26541,0,0,26540,21
26642,2554444,26643,0,0,26641,6
26741,2555308,26742,0,0,26740,24
26841,2553544,26842,0,0,26840,36
26942,2554076,26942,0,0,26941,38
27042,2553948,27043,0,0,27041,38
27142,2554692,27143,0,0,27141,38
27252,2554496,27253,0,0,27250,26
27344,2555012,27345,0,0,27343,42
27444,2557132,27445,0,0,27443,42
